GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,2.626,2.626,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,45541.0,45 541,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,10.42,10.42,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,1336.0,1336,,
HWF_0013,Dental Prosthetic Technicians (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-prosthetic-technicians-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,86.0,86,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,10683.0,10 683,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,11337.0,11 337,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,,,,11.401,11.401,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,386.0,386,,
HWF_0016,Pharmaceutical Technicians and Assistants  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmaceutical-technicians-and-assistants-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,2222.0,2222,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2018,2018,2018,EMR,Eastern Mediterranean,SDN,Sudan,,,,47882.0,47 882,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,3.635,3.635,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,701.0,701,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,1531.0,1531,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,31496.0,31 496,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.242,0.242,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,17656.0,17 656,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,32439.0,32 439,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,3.372,3.372,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,,,,8.403,8.403,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,16138.0,16 138,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,11083.0,11 083,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.311,0.311,,
HWF_0020,Medical and Pathology Laboratory Technicians  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-technicians-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,2416.0,2416,,
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/environmental-and-occupational-health-and-hygiene-professionals-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,479.0,479,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,32501.0,32 501,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/midwifery-personnel-%28number%29,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,14921.0,14 921,,
HWF_0019,Medical and Pathology Laboratory scientists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-and-pathology-laboratory-scientists-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,35.0,35,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,33354.0,33 354,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,10.996,10.996,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,,,,15845.0,15 845,,
HWF_0024,Community Health Workers (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/community-health-workers-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,4716.0,4716,,
HWF_0010,"Dentists (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28per-10-000-population%29,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.241,0.241,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,,,,32077.0,32 077,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28number%29,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,45541.0,45 541,,
HWF_0015,Pharmacists  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/pharmacists-number,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,377.0,377,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28number%29,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,,,,15845.0,15 845,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,10.117,10.117,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2007,2007,2007,EMR,Eastern Mediterranean,SDN,Sudan,,,,755.0,755,,
HWF_0006,"Nursing and midwifery personnel (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-and-midwifery-personnel-%28per-10-000-population%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,10.924,10.924,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dental-assistants-and-therapists-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,295.0,295,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,7552.0,7552,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/nursing-personnel-%28number%29,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,18433.0,18 433,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-not-further-defined-%28number%29,2008,2008,2008,EMR,Eastern Mediterranean,SDN,Sudan,,,,10813.0,10 813,,
HWF_0018,Environmental and Occupational Health Inspectors and Associates  (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/environmental-and-occupational-health-inspectors-and-associates-%28number%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,2418.0,2418,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/dentists-%28number%29,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,944.0,944,,
HWF_0001,"Medical doctors (per 10,000)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/medical-doctors-%28per-10-000-population%29,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,,,,4.151,4.151,,
