GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
DEVICES17,Procurement of medical devices carried out at the national level,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/procurement-of-medical-devices-carried-out-at-the-national-level,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
DEVICES14,Use of nomenclature system,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/use-of-nomenclature-system,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Used for procurement,,
DEVICES14,Use of nomenclature system,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/use-of-nomenclature-system,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Used for procurement,,
DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-national-list-of-approved-medical-devices-for-procurement-or-reimbursement,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
DEVICES12,Total density per million population: Linear Accelerator,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-linear-accelerator,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.07902,0.08,,
DEVICES09,Total density per million population: Computed tomography units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-computed-tomography-units,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.99,0.99,,
DEVICES17,Procurement of medical devices carried out at the national level,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/procurement-of-medical-devices-carried-out-at-the-national-level,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,Yes,,
DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/unit-in-the-ministry-of-health-responsible-for-the-management-of-medical-devices,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,Yes,,
DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-females-aged-from-50-to-69-years-old-mammography-units,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,9.74,9.74,,
DEVICES06,Availability of national standards or recommended lists of medical devices,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-national-standards-or-recommended-lists-of-medical-devices,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,For different healthcare facilities,,
DEVICES15,Health technology (medical device) national policy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/health-technology-%28medical-device%29-national-policy,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,Yes,,
HRH_40,Biomedical engineers density (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/biomedical-engineers-density-%28per-10-000-population%29,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.09,0.09,,
DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/national-guidelines-policies-or-recommendations-on-the-procurement-of-medical-devices,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
DEVICES14,Use of nomenclature system,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/use-of-nomenclature-system,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,Used for procurement,,
DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-technical-specifications-of-medical-devices-to-support-procurement-or-donations,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,"Yes, but not publically available",,
DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-females-aged-from-50-to-69-years-old-mammography-units,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,12.18339,12.18,,
DEVICES08,Total density per million population: Magnetic Resonance Imaging,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-magnetic-resonance-imaging,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.31609,0.32,,
DEVICES06,Availability of national standards or recommended lists of medical devices,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-national-standards-or-recommended-lists-of-medical-devices,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,,For different healthcare facilities,,
DEVICES06,Availability of national standards or recommended lists of medical devices,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-national-standards-or-recommended-lists-of-medical-devices,2021,2021,2021,EMR,Eastern Mediterranean,SDN,Sudan,,,,,For different healthcare facilities,,
HRH_44,Number of biomedical engineers,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-biomedical-engineers,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,365.0,365,,
HRH_40,Biomedical engineers density (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/biomedical-engineers-density-%28per-10-000-population%29,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.09,0.09,,
DEVICES20,Availability of technical specifications of medical devices to support procurement or donations,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/availability-of-technical-specifications-of-medical-devices-to-support-procurement-or-donations,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,,"Yes, but not publically available",,
HRH_40,Biomedical engineers density (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/biomedical-engineers-density-%28per-10-000-population%29,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.1,0.1,,
DEVICES22,Total density per million population: Radiotherapy units,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-million-population-radiotherapy-units,2013,2013,2013,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.18438,0.18,,
DEVICES07,Types of lists recommending health technology for high burden diseases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/types-of-lists-recommending-health-technology-for-high-burden-diseases,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,0.0,More than one list,,
