GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/countries-that-have-passed-legislation-on-universal-health-coverage-%28uhc%29,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,,No,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2000,2000,2000,EMR,Eastern Mediterranean,SDN,Sudan,,,,8.1,8.1,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,83.93,83.93,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,62.56,62.56,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,93.9,93.9,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2004,2004,2004,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.1,7.1,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,77.21,77.21,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2003,2003,2003,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.3,7.3,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2001,2001,2001,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.4,7.4,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2015,2015,2015,EMR,Eastern Mediterranean,SDN,Sudan,,,,6.7,6.7,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),26.04,26.04,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,84.07,84.07,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2005,2005,2005,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.2,7.2,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.58,0.58,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,0.0,0,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2020,2020,2020,EMR,Eastern Mediterranean,SDN,Sudan,,,,6.6,6.6,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,5.14,5.14,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,93.61,93.61,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,19.84,19.84,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,5.59,5.59,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,0.0,0,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2006,2006,2006,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.3,7.3,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,5.81,5.81,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,6.1,6.1,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.2,7.2,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2011,2011,2011,EMR,Eastern Mediterranean,SDN,Sudan,,,,8.4,8.4,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,,,,8.0,8.0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),69.53,69.53,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,10.48,10.48,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,22.1,22.1,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2002,2002,2002,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.3,7.3,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,20.99,20.99,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),73.96,73.96,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,EMR,Eastern Mediterranean,SDN,Sudan,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,19.01,19.01,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2017,2017,2017,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.4,7.4,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2009,2009,2009,EMR,Eastern Mediterranean,SDN,Sudan,,,,7.3,7.3,,
