,year,where_coordinates,total_deaths,Item,Value,Cholera case fatality rate,Gross national income per capita (Atlas method),Number of cases of visceral leishmaniasis reported,Number of deaths among children 5 to 14 years of age,Number of diarrhoea deaths from inadequate water,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),Total fertility rate (per woman),Total number of notified TB cases
67,1990,Southern Sudan,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
38,1990,Upper Nile province,3.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
62,1990,Southern Sudan,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
36,1990,Maridi town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
1180,1990,Nuba Mountains district,60.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
1181,1990,Juba town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
1179,1990,Nuba Mountains district,200.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
1160,1990,Kutum town,7.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
14,1990,Darfur,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
20,1990,Kajo Kaji town,7.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
21,1990,Tabuli town,26.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
22,1990,Kaya town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
23,1990,Morobo town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
24,1990,Juba town,15.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
15,1990,Sudan/Chad border (near),0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
26,1990,Bentiu town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
35,1990,Western Nuer district,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
34,1990,Kagwada village,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
33,1990,Juba town,3.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
25,1990,Yei town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
31,1990,Equatoria,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
32,1990,Western Equatoria province,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
37,1990,Ayod town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
30,1990,Kajo Kaji town,8.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
29,1990,Juba town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
27,1990,Kadugli town,0.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
28,1990,Road between towns of Juba and Yei,9.0,GDP Deflator,53.4816928382,,,,16994.08160.08834.0,,34.1009534.0289734.17513,,
84,1991,Bahr al Ghazal state,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
85,1991,Aweil town,8.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
86,1991,Nasir town,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
87,1991,Eastern Equatoria district,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
88,1991,Jokau town,1.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
89,1991,Upper Nile state,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
90,1991,Juba town,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
3338,1991,Jonglei village,600.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
3339,1991,Jalle village,20.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
1185,1991,Tira town,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
3644,1991,Southern Sudan,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
3643,1991,Bor town,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
3335,1991,Duk Faiwil village,9.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
3336,1991,Wernyol village,8.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
3340,1991,Paliau village,1.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
83,1991,Equatoria state,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
3337,1991,Kongor town,3.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
91,1991,Juba town,53.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
1186,1991,Hillat Saburi village,250.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
81,1991,Bahr al Ghazal state,101.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
80,1991,Bahr al Ghazal state,51.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
79,1991,Maridi town,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
78,1991,Upper Nile state,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
77,1991,Maridi town,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
76,1991,Upper Nile state,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
75,1991,Malakal town,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
74,1991,Upper Nile state,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
73,1991,Southern Kordofan district,6.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
82,1991,Rokon town,0.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
3341,1991,Bor town,1360.0,GDP Deflator,44.9528160811,,,,16908.08802.08106.0,,34.2914534.0969734.19274,,
1202,1992,Lagawa town,10.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3641,1992,Nimule town,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3640,1992,Torit town,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3571,1992,Narus town,200.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3347,1992,Duk-Padiet town,68.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1200,1992,Juba town,300.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3345,1992,Paliau village,3.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1201,1992,Juba town,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1203,1992,Lagawa town,10.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1199,1992,Pagarau town,2.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1198,1992,Nyima Hills village,40.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1197,1992,Kapoeta town,28.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3346,1992,Wernyol village,11.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3645,1992,Kajo Kaji town,1.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1206,1992,Nuba Mountains district,22.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1209,1992,Karkaray al-Beira town,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1208,1992,Jebel Heiban town,200.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1196,1992,Kapoeta town,6.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1195,1992,Kapoeta town,6.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1194,1992,Karakandi town,300.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1193,1992,Pibor Post,32.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1192,1992,Bahr al Ghazal state,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3646,1992,Jonglei district,1000.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1191,1992,Yirol town,5.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1189,1992,Nuba Mountains district,200.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1188,1992,Juba town,200.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1187,1992,Khartoum city,15.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1207,1992,Nuba Mountains district,100.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1205,1992,Delami town,15.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1204,1992,Abri town,16.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
1190,1992,Nuba Mountains district,40.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3344,1992,Upper Nile state,63.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2848,1992,Duk-Padiet town,2.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3342,1992,Pagarau town,63.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
92,1992,Southern Sudan,100.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
93,1992,Juba town,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
94,1992,Darfur state,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
96,1992,Juba town,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
97,1992,Bahr al Ghazal state,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
98,1992,Juba town,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
99,1992,Juba town,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3343,1992,Upper Nile state,63.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
101,1992,Juba town,40.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
102,1992,Juba town,0.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
103,1992,Juba town,40.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2856,1992,Equatoria state,7.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2855,1992,Magwe town,1.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2854,1992,Magwe town,2.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2853,1992,Equatoria state,7.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
100,1992,Juba town,70.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2852,1992,Lafon town,1.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2846,1992,Pathai village,2.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2847,1992,Pagau town,130.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2849,1992,Jonglei district,2.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2850,1992,Lotuke,3.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
95,1992,Southern Sudan,7.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
2851,1992,Pathai village,4.0,GDP Deflator,45.9772504469,,,,8692.07970.016662.0,,34.3041834.1808934.43124,,
3649,1993,Kongor town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2866,1993,Ayod town,15.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2867,1993,Jonglei district,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2868,1993,Mogogh town,3.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2869,1993,Jonglei district,32.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2870,1993,Jonglei district,19.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2871,1993,Ayod town,4.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2872,1993,Yuai town,9.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2865,1993,Chukudum town,2.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3652,1993,Kongor town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3654,1993,Ayod town,50.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3655,1993,Yuai town,50.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3656,1993,Yuai town,98.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3657,1993,Duk-Padiet town,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3658,1993,Ayod town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3659,1993,Keij village,3.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3660,1993,Yuai town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3661,1993,Kongor town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3653,1993,Yuai town,1165.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2864,1993,Jonglei district,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2863,1993,Chukudum town,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2862,1993,Kuac Deng,71.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3650,1993,Yuai town,500.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3651,1993,Ayod town,500.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2857,1993,Obbo area,4.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2858,1993,Kuac Deng,5.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2859,1993,Lafon town,37.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3610,1993,Wanding payam,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3580,1993,Kordofan state,108.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3647,1993,Lafon town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3648,1993,Lafon town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3352,1993,Duk Faiwil village,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3350,1993,Duk Faiwil village,15.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3349,1993,Kongor town,10.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3348,1993,Jonglei district,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3662,1993,Waat town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3638,1993,Nimule town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3639,1993,Nimule town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3642,1993,Lafon town,114.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2861,1993,Upper Nile state,40.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
3351,1993,Upper Nile state,10.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2860,1993,Obbo area,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2874,1993,Chukudum town,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
116,1993,Loa town,3.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
113,1993,Kaya town,18.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
114,1993,Southern Sudan,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
115,1993,Ugandan border (near),17.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
117,1993,Morobo town,6.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1210,1993,Train from Babanussa to Wau,3.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1211,1993,Karkaray al-Beira town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1212,1993,Karic town,3.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1213,1993,Eastern Equatoria district,3.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1214,1993,Aweil town,178.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1215,1993,Train from Babanussa to Wau,3.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1216,1993,Wau town,37.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1217,1993,Aweil town,22.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1218,1993,Bahr al Ghazal state,9.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1219,1993,Lol river,300.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
1220,1993,Buram village,40.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
112,1993,Southern Sudan,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
111,1993,Between Equatoria and Bahr al-Ghazal,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2873,1993,Chukudum town,6.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
109,1993,Mundri town,5.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2876,1993,Pagau town,3.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
110,1993,Loka town,0.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2877,1993,Jonglei district,10.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2878,1993,Jonglei district,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2879,1993,Lek village,20.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
2880,1993,Padeng village,25.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
104,1993,Western Equatoria district,1.0,GDP Deflator,47.0670674195,,,,16338.07799.08539.0,,34.4341134.5823434.29025,,
