,year,where_coordinates,total_deaths,GDP Deflator Value
1984,1993,Jonglei district,1.0,47.0670674195
1983,1993,Jonglei district,10.0,47.0670674195
1982,1993,Pagau town,3.0,47.0670674195
1981,1993,Chukudum town,3.0,47.0670674195
1980,1993,Chukudum town,1.0,47.0670674195
1979,1993,Chukudum town,6.0,47.0670674195
1978,1993,Yuai town,9.0,47.0670674195
1977,1993,Ayod town,4.0,47.0670674195
1976,1993,Jonglei district,19.0,47.0670674195
1975,1993,Jonglei district,32.0,47.0670674195
1963,1993,Obbo area,4.0,47.0670674195
991,1993,Buram village,40.0,47.0670674195
1965,1993,Lafon town,37.0,47.0670674195
1966,1993,Obbo area,1.0,47.0670674195
1967,1993,Upper Nile state,40.0,47.0670674195
1968,1993,Kuac Deng,71.0,47.0670674195
1969,1993,Chukudum town,1.0,47.0670674195
1970,1993,Jonglei district,1.0,47.0670674195
1971,1993,Chukudum town,2.0,47.0670674195
1972,1993,Ayod town,15.0,47.0670674195
1985,1993,Lek village,20.0,47.0670674195
2554,1993,Keij village,3.0,47.0670674195
2507,1993,Wanding payam,0.0,47.0670674195
1987,1993,Lau village,95.0,47.0670674195
2552,1993,Duk-Padiet town,1.0,47.0670674195
2551,1993,Yuai town,98.0,47.0670674195
2550,1993,Yuai town,50.0,47.0670674195
2549,1993,Ayod town,50.0,47.0670674195
2548,1993,Yuai town,1165.0,47.0670674195
2547,1993,Kongor town,0.0,47.0670674195
2546,1993,Ayod town,500.0,47.0670674195
2545,1993,Yuai town,500.0,47.0670674195
2544,1993,Kongor town,0.0,47.0670674195
2543,1993,Lafon town,0.0,47.0670674195
2542,1993,Lafon town,0.0,47.0670674195
2537,1993,Lafon town,114.0,47.0670674195
2534,1993,Nimule town,0.0,47.0670674195
2533,1993,Nimule town,0.0,47.0670674195
2347,1993,Duk Faiwil village,1.0,47.0670674195
2346,1993,Upper Nile state,10.0,47.0670674195
2345,1993,Duk Faiwil village,15.0,47.0670674195
2344,1993,Kongor town,10.0,47.0670674195
2343,1993,Jonglei district,0.0,47.0670674195
1989,1993,Yuai town,45.0,47.0670674195
1988,1993,Lafon town,2.0,47.0670674195
1986,1993,Padeng village,25.0,47.0670674195
1973,1993,Jonglei district,1.0,47.0670674195
1974,1993,Mogogh town,3.0,47.0670674195
131,1993,Southern Sudan,1.0,47.0670674195
134,1993,Morobo town,6.0,47.0670674195
133,1993,Loa town,3.0,47.0670674195
132,1993,Ugandan border (near),17.0,47.0670674195
130,1993,Kaya town,18.0,47.0670674195
129,1993,Southern Sudan,0.0,47.0670674195
127,1993,Loka town,0.0,47.0670674195
128,1993,Between Equatoria and Bahr al-Ghazal,0.0,47.0670674195
125,1993,Kajo Kaji town,17.0,47.0670674195
124,1993,Mundri town,2.0,47.0670674195
123,1993,Amadi town,1.0,47.0670674195
122,1993,Western Equatoria district,1.0,47.0670674195
121,1993,Western Equatoria district,1.0,47.0670674195
126,1993,Mundri town,5.0,47.0670674195
999,1994,Nuba Mountains district,15.0,42.1204179779
141,1994,Mundri town,0.0,42.1204179779
993,1994,Shawaya village,113.0,42.1204179779
142,1994,Nimule town,1.0,42.1204179779
998,1994,Delami town,0.0,42.1204179779
1990,1994,Southern Sudan,2.0,42.1204179779
996,1994,Nuba Mountains district,40.0,42.1204179779
995,1994,Eastern Equatoria district,4.0,42.1204179779
139,1994,Pageri town,0.0,42.1204179779
994,1994,Road between Lagawa to Dilling (Nuba Mountains),67.0,42.1204179779
997,1994,Nuba Mountains district,4.0,42.1204179779
138,1994,Pajok town,0.0,42.1204179779
140,1994,Mundri town,1.0,42.1204179779
136,1994,Southern Sudan,0.0,42.1204179779
2683,1994,Karnoi wells,17.0,42.1204179779
137,1994,Eastern Equatoria district,4.0,42.1204179779
992,1994,Nuba Mountains district,228.0,42.1204179779
135,1994,Kaya town,0.0,42.1204179779
2558,1994,Akot town,0.0,42.1204179779
1012,1995,Nuba Mountains district,70.0,42.9569079796
1018,1995,Khartoum city,0.0,42.9569079796
153,1995,Juba town,0.0,42.9569079796
154,1995,Yambio town,0.0,42.9569079796
155,1995,Nimule town,2.0,42.9569079796
156,1995,Southern Sudan,0.0,42.9569079796
157,1995,Kit town,0.0,42.9569079796
158,1995,Southern Sudan,12.0,42.9569079796
1017,1995,Western Darfur state,23.0,42.9569079796
1016,1995,Nuba Mountains district,21.0,42.9569079796
1015,1995,Moro hills,2.0,42.9569079796
1014,1995,Otoro hills,1.0,42.9569079796
1013,1995,Nuba Mountains district,3.0,42.9569079796
1003,1995,Nuba Mountains district,45.0,42.9569079796
1004,1995,Nuba Mountains district,1.0,42.9569079796
1005,1995,Nuba Mountains district,1.0,42.9569079796
1006,1995,Delami town,3.0,42.9569079796
1007,1995,Tubira village,3.0,42.9569079796
1008,1995,Nuba Mountains district,3.0,42.9569079796
1009,1995,Nuba Mountains district,2.0,42.9569079796
1010,1995,Delami town,2.0,42.9569079796
1011,1995,Nuba Mountains district,1.0,42.9569079796
2573,1995,Morobo town,64.0,42.9569079796
1000,1995,Otoro hills,10.0,42.9569079796
1001,1995,Delami town,0.0,42.9569079796
1002,1995,Angolo town,17.0,42.9569079796
2042,1995,Odemo village,1.0,42.9569079796
145,1995,Southern Sudan,99.0,42.9569079796
148,1995,Southern Sudan,0.0,42.9569079796
855,1995,Palataka town,36.0,42.9569079796
144,1995,Sudan,0.0,42.9569079796
143,1995,Southern Sudan,0.0,42.9569079796
149,1995,Lasubi town,0.0,42.9569079796
147,1995,Eastern Equatoria state,58.0,42.9569079796
151,1995,Nimule town,0.0,42.9569079796
150,1995,Ombusi town,0.0,42.9569079796
1991,1995,Nuer area of Ganyliel,147.0,42.9569079796
2395,1995,Owiny-Ki-Bul village,18.0,42.9569079796
2394,1995,Parajok village,18.0,42.9569079796
2040,1995,Kubi village,1.0,42.9569079796
2041,1995,Ligi village,1.0,42.9569079796
152,1995,Eastern Equatoria state,0.0,42.9569079796
146,1995,Regefy area,6.0,42.9569079796
419,1996,Kassala town,10.0,26.4453710533
2560,1996,Pagak town,1.0,26.4453710533
2559,1996,Waat town,17.0,26.4453710533
420,1996,Kassala town,15.0,26.4453710533
1019,1996,Majok Kuom  village,2.0,26.4453710533
1020,1996,Western Darfur state,3.0,26.4453710533
422,1996,Kassala state,0.0,26.4453710533
2043,1996,Kit village,1.0,26.4453710533
423,1996,Kassala town,5.0,26.4453710533
424,1996,Kassala town,18.0,26.4453710533
2044,1996,Lomiyega location,1.0,26.4453710533
425,1996,Kassala town,4.0,26.4453710533
1021,1996,Western Darfur state,3.0,26.4453710533
426,1996,Kassala state,0.0,26.4453710533
427,1996,Kassala state,16.0,26.4453710533
428,1996,Kassala state,11.0,26.4453710533
429,1996,Rabussom area,50.0,26.4453710533
421,1996,Kassala town,6.0,26.4453710533
1022,1996,Sisi town,3.0,26.4453710533
2574,1996,Eastern Equatoria state,16.0,26.4453710533
1024,1996,Western Darfur state,3.0,26.4453710533
163,1996,Southern Sudan,13.0,26.4453710533
2049,1996,Kuduo camp,1.0,26.4453710533
161,1996,Southern Sudan,116.0,26.4453710533
160,1996,Aswa town,0.0,26.4453710533
159,1996,Southern Sudan,2.0,26.4453710533
2526,1996,Darfur,35.0,26.4453710533
2525,1996,Darfur,35.0,26.4453710533
2524,1996,Hasan village,36.0,26.4453710533
2523,1996,Southern Darfur state,0.0,26.4453710533
2046,1996,Southern Sudan,2.0,26.4453710533
2047,1996,Kit village,1.0,26.4453710533
2048,1996,Odemo village,1.0,26.4453710533
1023,1996,Haraza town,3.0,26.4453710533
2522,1996,Western Darfur state,0.0,26.4453710533
1992,1996,Yabus town,0.0,26.4453710533
2051,1996,Bahr-al-Jabal state,18.0,26.4453710533
2050,1996,Bahr-al-Jabal state,1.0,26.4453710533
164,1996,Jebel Umm Barakit village,6.0,26.4453710533
165,1996,Eastern Sudan,6.0,26.4453710533
162,1996,Southern Sudan,1.0,26.4453710533
167,1996,Maridi town,1.0,26.4453710533
168,1996,Tambura town,1.0,26.4453710533
2045,1996,Southern Sudan,1.0,26.4453710533
1025,1996,Nuba Mountains district,2.0,26.4453710533
1026,1996,Western Darfur state,3.0,26.4453710533
2576,1996,Kajo Keji town,16.0,26.4453710533
2575,1996,Eastern Equatoria state,17.0,26.4453710533
2397,1996,Kuduo camp,2.0,26.4453710533
2396,1996,Southern Sudan,150.0,26.4453710533
1027,1996,Shushta village,2.0,26.4453710533
1028,1996,Kotobi town,5.0,26.4453710533
166,1996,Eastern Sudan,6.0,26.4453710533
1029,1996,Bahr al Ghazal,5.0,26.4453710533
2052,1997,Odemo village,1.0,30.4829452770
2053,1997,Southern Sudan,6.0,30.4829452770
2054,1997,Mugale village,1.0,30.4829452770
203,1997,Kadugli town,10.0,30.4829452770
856,1997,Kit village,75.0,30.4829452770
857,1997,Kit village,75.0,30.4829452770
2561,1997,Waat town,0.0,30.4829452770
2562,1997,Ayod town,0.0,30.4829452770
2563,1997,Bor town,0.0,30.4829452770
201,1997,Southern Sudan,1.0,30.4829452770
200,1997,Juba town,2.0,30.4829452770
2055,1997,Kuduo camp,14.0,30.4829452770
430,1997,Keili garrision,150.0,30.4829452770
443,1997,Blue Nile state,96.0,30.4829452770
432,1997,Southern Sudan,17.0,30.4829452770
2568,1997,Yei town,50.0,30.4829452770
2569,1997,Morobo town,50.0,30.4829452770
2570,1997,Kajo Keji town,65.0,30.4829452770
2571,1997,Kajo Keji town,20.0,30.4829452770
2572,1997,Bori town,25.0,30.4829452770
204,1997,Western Equatoria state,100.0,30.4829452770
2577,1997,Morobo town,50.0,30.4829452770
2578,1997,Yei town,50.0,30.4829452770
431,1997,Eastern Sudan,92.0,30.4829452770
442,1997,Kassala town,9.0,30.4829452770
440,1997,Doka town,11.0,30.4829452770
439,1997,Red Sea state,6.0,30.4829452770
438,1997,Doka town,9.0,30.4829452770
437,1997,Red Sea state,18.0,30.4829452770
436,1997,Khor Marafidoy valley,2.0,30.4829452770
435,1997,Khor el Gana,212.0,30.4829452770
434,1997,Eastern Sudan,50.0,30.4829452770
433,1997,Roseires Dam,27.0,30.4829452770
441,1997,Kassala-Butana bridge,5.0,30.4829452770
205,1997,Yei town,3.0,30.4829452770
1031,1997,Torit town,0.0,30.4829452770
207,1997,Bahr-al-Jabal state,0.0,30.4829452770
177,1997,Eastern Sudan,38.0,30.4829452770
176,1997,Torit town,2.0,30.4829452770
175,1997,Western Equatoria state,24.0,30.4829452770
174,1997,Ad-Damazin town,300.0,30.4829452770
206,1997,Yei town,1.0,30.4829452770
202,1997,Nuba Mountains district,13.0,30.4829452770
1030,1997,Mabior town,97.0,30.4829452770
172,1997,Gotned area,7.0,30.4829452770
1032,1997,Western Bahr-al-Ghazal state,13.0,30.4829452770
1033,1997,Majok Kuom  village,2.0,30.4829452770
1034,1997,Ariath town,24.0,30.4829452770
178,1997,Yei district,10.0,30.4829452770
1035,1997,Abyei town,61.0,30.4829452770
1037,1997,Western Darfur state,0.0,30.4829452770
1038,1997,Geneina town/Al-Junaynah town,0.0,30.4829452770
171,1997,Hamashkoreb area,2.0,30.4829452770
170,1997,Kurmuk town,0.0,30.4829452770
169,1997,Southern Sudan,40.0,30.4829452770
1996,1997,Southern Kordofan state,4.0,30.4829452770
1995,1997,Qissan town,0.0,30.4829452770
1994,1997,Kurmuk town,0.0,30.4829452770
1993,1997,Wunrog town,142.0,30.4829452770
2498,1997,Gedaref state,21.0,30.4829452770
2398,1997,Kit village,100.0,30.4829452770
1036,1997,Nuba Mountains district,3.0,30.4829452770
179,1997,Kaya town,0.0,30.4829452770
173,1997,Kassala state,63.0,30.4829452770
181,1997,Yei town,0.0,30.4829452770
208,1997,Nuba Mountains district,20.0,30.4829452770
209,1997,Torit town,2.0,30.4829452770
210,1997,Torit town,3.0,30.4829452770
211,1997,Torit town,0.0,30.4829452770
212,1997,At mile 39 on Juba to Nimule road,70.0,30.4829452770
213,1997,Torit town,2.0,30.4829452770
180,1997,Southern Sudan,100.0,30.4829452770
198,1997,Juba town,20.0,30.4829452770
197,1997,Akon town,5.0,30.4829452770
196,1997,Ayod town,35.0,30.4829452770
195,1997,Old Fangak town,34.0,30.4829452770
194,1997,Yirol town,2.0,30.4829452770
199,1997,Juba town,400.0,30.4829452770
192,1997,Tonj town,2.0,30.4829452770
182,1997,Loka town,100.0,30.4829452770
183,1997,Yei town,1.0,30.4829452770
193,1997,Bahr al Ghazal,132.0,30.4829452770
185,1997,Lanya town,1.0,30.4829452770
186,1997,Loka town,2.0,30.4829452770
187,1997,Yei town,200.0,30.4829452770
184,1997,Lainya town,2.0,30.4829452770
191,1997,Rumbek town,601.0,30.4829452770
188,1997,Chali el-Fil town,3.0,30.4829452770
189,1997,Eastern Sudan,50.0,30.4829452770
190,1997,Akobo town,70.0,30.4829452770
1997,1998,Southern Darfur state,42.0,30.0401995192
2399,1998,Southern Sudan,18.0,30.0401995192
2400,1998,Bahr-al-Jabal state,40.0,30.0401995192
2509,1998,Abu Ni' mah area,0.0,30.0401995192
2057,1998,Kuduo camp,2.0,30.0401995192
2056,1998,Southern Sudan,1.0,30.0401995192
2510,1998,Geneina town/Al-Junaynah town,0.0,30.0401995192
2511,1998,Western Darfur state,0.0,30.0401995192
2512,1998,Western Darfur state,0.0,30.0401995192
2579,1998,Unity state,0.0,30.0401995192
1999,1998,Renk town,0.0,30.0401995192
1998,1998,Abyei town,18.0,30.0401995192
481,1998,Eastern Sudan,7.0,30.0401995192
247,1998,Yei town,0.0,30.0401995192
479,1998,Eastern Sudan,2.0,30.0401995192
1043,1998,Wau town,400.0,30.0401995192
1042,1998,Gadeir village,0.0,30.0401995192
1041,1998,Western Darfur state,0.0,30.0401995192
1040,1998,Liberi town,0.0,30.0401995192
1039,1998,Hashaba town,0.0,30.0401995192
480,1998,Eastern Sudan,7.0,30.0401995192
244,1998,Tonga town,2.0,30.0401995192
243,1998,Nibodo town,1.0,30.0401995192
242,1998,Blue Nile state,98.0,30.0401995192
241,1998,Ad-Damazin town,313.0,30.0401995192
240,1998,Maban town,107.0,30.0401995192
239,1998,Blue Nile state,0.0,30.0401995192
238,1998,Upper Nile state,0.0,30.0401995192
237,1998,Ulu town,12.0,30.0401995192
1044,1998,Khartoum city,0.0,30.0401995192
236,1998,Ulu town,97.0,30.0401995192
234,1998,Aweil town,1.0,30.0401995192
233,1998,Upper Nile state,1.0,30.0401995192
232,1998,Darfur,37.0,30.0401995192
231,1998,Blue Nile state,218.0,30.0401995192
230,1998,Eastern Equatoria state,15.0,30.0401995192
229,1998,Bahr-al-Jabal state,5.0,30.0401995192
228,1998,Bahr-al-Jabal state,6.0,30.0401995192
227,1998,Adet village,1.0,30.0401995192
226,1998,Yei town,800.0,30.0401995192
225,1998,Yei town,12.0,30.0401995192
224,1998,Thiet town,0.0,30.0401995192
223,1998,Western Bahr-al-Ghazal state,12.0,30.0401995192
222,1998,Wunrog town,13.0,30.0401995192
221,1998,Mapel town,0.0,30.0401995192
235,1998,Ad-Damazin town,300.0,30.0401995192
220,1998,Yei town,3.0,30.0401995192
1045,1998,Marial Bai village,39.0,30.0401995192
1047,1998,Adindaw town,120.0,30.0401995192
248,1998,Bahr-al-Jabal state,42.0,30.0401995192
249,1998,Eastern Equatoria state,50.0,30.0401995192
250,1998,Eastern Equatoria state,380.0,30.0401995192
251,1998,Ngangala town,1.0,30.0401995192
252,1998,Southern Sudan,0.0,30.0401995192
253,1998,Bahr-al-Jabal state,48.0,30.0401995192
254,1998,Torit town,17.0,30.0401995192
255,1998,Liria town,48.0,30.0401995192
256,1998,Bahr-al-Jabal state,18.0,30.0401995192
257,1998,Liria town,18.0,30.0401995192
258,1998,Yambio town,1.0,30.0401995192
259,1998,Southern Sudan,20.0,30.0401995192
260,1998,Eastern Equatoria state,65.0,30.0401995192
261,1998,Khor Inglizi bridge,2.0,30.0401995192
1046,1998,Bahr al Ghazal,24.0,30.0401995192
262,1998,Mandi,50.0,30.0401995192
264,1998,Southern Kordofan state,20.0,30.0401995192
265,1998,Eastern Equatoria state,81.0,30.0401995192
266,1998,Dilling town,44.0,30.0401995192
267,1998,Yei town,0.0,30.0401995192
268,1998,Gama town,94.0,30.0401995192
269,1998,Nuba Mountains district,18.0,30.0401995192
270,1998,Kassala state,26.0,30.0401995192
271,1998,Kassala state,25.0,30.0401995192
272,1998,Nuba Mountains district,14.0,30.0401995192
273,1998,Nuba Mountains district,10.0,30.0401995192
274,1998,Narus town,0.0,30.0401995192
1050,1998,Khartoum city,1.0,30.0401995192
1049,1998,Aweil town,13.0,30.0401995192
1048,1998,Nyamlell town,0.0,30.0401995192
263,1998,Yei town,3.0,30.0401995192
219,1998,Western Bahr-al-Ghazal state,4.0,30.0401995192
245,1998,Tonga town,1.0,30.0401995192
217,1998,Wau town,768.0,30.0401995192
461,1998,Haladet garrison,1.0,30.0401995192
462,1998,Shalalob garrison,2.0,30.0401995192
463,1998,Kassala town,3.0,30.0401995192
464,1998,Ulu town,12.0,30.0401995192
465,1998,Kassala state,20.0,30.0401995192
466,1998,Kassala town,2.0,30.0401995192
467,1998,Kassala town,8.0,30.0401995192
468,1998,Aqiq town,2.0,30.0401995192
469,1998,Kassala state,8.0,30.0401995192
470,1998,Upper Nile state,52.0,30.0401995192
471,1998,Kassala town,30.0,30.0401995192
472,1998,Northeastern Sudan,15.0,30.0401995192
218,1998,Wau town,8.0,30.0401995192
473,1998,Sudan-Eritrea border,28.0,30.0401995192
474,1998,Eastern Sudan,0.0,30.0401995192
475,1998,Roseires town,19.0,30.0401995192
476,1998,Roseires Dam,20.0,30.0401995192
477,1998,Kassala town,5.0,30.0401995192
478,1998,Kassala town,5.0,30.0401995192
460,1998,Rabussom area,16.0,30.0401995192
459,1998,Qallabat town,30.0,30.0401995192
457,1998,Kassala state,4.0,30.0401995192
246,1998,Labone IDP camp,0.0,30.0401995192
444,1998,Kassala town,3.0,30.0401995192
216,1998,Wau town,200.0,30.0401995192
215,1998,Wau town,2.0,30.0401995192
214,1998,Wau town,23.0,30.0401995192
2582,1998,Unity state,0.0,30.0401995192
2581,1998,Khartoum city,0.0,30.0401995192
2580,1998,Bentiu town,0.0,30.0401995192
445,1998,Eastern Sudan,60.0,30.0401995192
446,1998,Kassala town,10.0,30.0401995192
458,1998,Qallabat town,30.0,30.0401995192
448,1998,Eastern Sudan,0.0,30.0401995192
