GHO (CODE),YEAR (DISPLAY),STARTYEAR,ENDYEAR,DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Low,High
MALARIA_EST_MORTALITY,2016,2016,2016,N/A,N/A,N/A,10.97,4.16,21.42
MALARIA_EST_MORTALITY,2009,2009,2009,N/A,N/A,N/A,8.09,3.55,13.93
MALARIA_MICR_POS,2023,2023,2023,N/A,N/A,N/A,299931.0,0.0,0.0
MALARIA_SUSPECTS,2019,2019,2019,N/A,N/A,N/A,7642050.0,0.0,0.0
MALARIA_MICR_TEST,2018,2018,2018,N/A,N/A,N/A,6668355.0,0.0,0.0
MALARIA_MICR_POS,2015,2015,2015,N/A,N/A,N/A,586827.0,0.0,0.0
MALARIA_TOTAL_CASES,2016,2016,2016,N/A,N/A,N/A,897194.0,0.0,0.0
MALARIA_TOTAL_CASES,2023,2023,2023,N/A,N/A,N/A,1304528.0,0.0,0.0
MALARIA_CONF_CASES,2015,2015,2015,N/A,N/A,N/A,586827.0,0.0,0.0
MALARIA_CONF_CASES,2016,2016,2016,N/A,N/A,N/A,566015.0,0.0,0.0
MALARIA_CONF_CASES,2021,2021,2021,N/A,N/A,N/A,1647744.0,0.0,0.0
MALARIA_RDT_POS,2022,2022,2022,N/A,N/A,N/A,218063.0,0.0,0.0
MALARIA_EST_MORTALITY,2020,2020,2020,N/A,N/A,N/A,16.32,5.64,35.19
MALARIA_PF_INDIG,2019,2019,2019,N/A,N/A,N/A,1363507.0,0.0,0.0
MALARIA_SUSPECTS,2018,2018,2018,N/A,N/A,N/A,9760505.0,0.0,0.0
MALARIA_CONF_CASES,2019,2019,2019,N/A,N/A,N/A,1752011.0,0.0,0.0
MALARIA_PV_INDIG,2017,2017,2017,N/A,N/A,N/A,58335.0,0.0,0.0
MALARIA_SUSPECTS,2022,2022,2022,N/A,N/A,N/A,7957950.0,0.0,0.0
MALARIA_EST_MORTALITY,2006,2006,2006,N/A,N/A,N/A,12.24,4.85,23.25
MALARIA_INDIG,2020,2020,2020,N/A,N/A,N/A,1698394.0,0.0,0.0
MALARIA_EST_INCIDENCE,2020,2020,2020,N/A,N/A,N/A,69.71,34.5,125.09
MALARIA_EST_MORTALITY,2013,2013,2013,N/A,N/A,N/A,8.15,3.54,14.21
MALARIA_TOTAL_CASES,2018,2018,2018,N/A,N/A,N/A,3627586.0,0.0,0.0
MALARIA_CONF_CASES,2017,2017,2017,N/A,N/A,N/A,800116.0,0.0,0.0
MALARIA_TOTAL_CASES,2019,2019,2019,N/A,N/A,N/A,3568941.0,0.0,0.0
MALARIA_INDIG,2015,2015,2015,N/A,N/A,N/A,586827.0,0.0,0.0
MALARIA_EST_INCIDENCE,2007,2007,2007,N/A,N/A,N/A,44.28,29.32,64.24
MALARIA_PRES_CASES,2018,2018,2018,N/A,N/A,N/A,1978903.0,0.0,0.0
MALARIA_TOTAL_CASES,2020,2020,2020,N/A,N/A,N/A,3412499.0,0.0,0.0
MALARIA_MICR_POS,2021,2021,2021,N/A,N/A,N/A,1309892.0,0.0,0.0
MALARIA_RDT_POS,2019,2019,2019,N/A,N/A,N/A,343769.0,0.0,0.0
MALARIA_RDT_POS,2021,2021,2021,N/A,N/A,N/A,337852.0,0.0,0.0
MALARIA_INDIG,2017,2017,2017,N/A,N/A,N/A,800116.0,0.0,0.0
MALARIA_EST_MORTALITY,2003,2003,2003,N/A,N/A,N/A,14.11,5.44,26.9
MALARIA_MICR_POS,2019,2019,2019,N/A,N/A,N/A,1408242.0,0.0,0.0
MALARIA_PV_INDIG,2018,2018,2018,N/A,N/A,N/A,143314.0,0.0,0.0
MALARIA_EST_MORTALITY,2017,2017,2017,N/A,N/A,N/A,12.2,4.18,26.61
MALARIA_SUSPECTS,2020,2020,2020,N/A,N/A,N/A,8211933.0,0.0,0.0
MALARIA_PF_INDIG,2022,2022,2022,N/A,N/A,N/A,1091532.0,0.0,0.0
MALARIA_PV_INDIG,2023,2023,2023,N/A,N/A,N/A,39616.0,0.0,0.0
MALARIA_EST_MORTALITY,2000,2000,2000,N/A,N/A,N/A,21.49,8.84,39.47
MALARIA_EST_INCIDENCE,2022,2022,2022,N/A,N/A,N/A,68.07,33.71,121.9
MALARIA_RDT_POS,2017,2017,2017,N/A,N/A,N/A,212016.0,0.0,0.0
MALARIA_CONF_CASES,2023,2023,2023,N/A,N/A,N/A,354412.0,0.0,0.0
MALARIA_EST_INCIDENCE,2021,2021,2021,N/A,N/A,N/A,69.19,34.19,122.87
MALARIA_SUSPECTS,2016,2016,2016,N/A,N/A,N/A,4199740.0,0.0,0.0
MALARIA_MICR_TEST,2023,2023,2023,N/A,N/A,N/A,1434043.0,0.0,0.0
MALARIA_MICR_TEST,2021,2021,2021,N/A,N/A,N/A,4742722.0,0.0,0.0
MALARIA_EST_MORTALITY,2022,2022,2022,N/A,N/A,N/A,15.93,5.51,34.17
MALARIA_EST_INCIDENCE,2004,2004,2004,N/A,N/A,N/A,52.25,32.32,79.49
MALARIA_INDIG,2023,2023,2023,N/A,N/A,N/A,354412.0,0.0,0.0
MALARIA_SUSPECTS,2015,2015,2015,N/A,N/A,N/A,4101841.0,0.0,0.0
MALARIA_EST_INCIDENCE,2005,2005,2005,N/A,N/A,N/A,51.64,31.79,77.68
MALARIA_MICR_TEST,2017,2017,2017,N/A,N/A,N/A,2426329.0,0.0,0.0
MALARIA_PRES_CASES,2022,2022,2022,N/A,N/A,N/A,2412374.0,0.0,0.0
MALARIA_PF_INDIG,2016,2016,2016,N/A,N/A,N/A,333009.0,0.0,0.0
MALARIA_PRES_CASES,2017,2017,2017,N/A,N/A,N/A,841942.0,0.0,0.0
MALARIA_EST_MORTALITY,2005,2005,2005,N/A,N/A,N/A,12.65,5.02,23.87
MALARIA_EST_INCIDENCE,2013,2013,2013,N/A,N/A,N/A,33.28,24.46,44.54
MALARIA_TOTAL_CASES,2022,2022,2022,N/A,N/A,N/A,3768163.0,0.0,0.0
MALARIA_PRES_CASES,2015,2015,2015,N/A,N/A,N/A,515359.0,0.0,0.0
MALARIA_EST_INCIDENCE,2006,2006,2006,N/A,N/A,N/A,49.95,31.55,76.12
MALARIA_EST_INCIDENCE,2010,2010,2010,N/A,N/A,N/A,31.18,23.15,41.15
MALARIA_EST_MORTALITY,2004,2004,2004,N/A,N/A,N/A,12.8,4.99,24.31
MALARIA_MICR_TEST,2015,2015,2015,N/A,N/A,N/A,3586482.0,0.0,0.0
MALARIA_EST_INCIDENCE,2016,2016,2016,N/A,N/A,N/A,50.83,28.73,83.91
MALARIA_MICR_POS,2022,2022,2022,N/A,N/A,N/A,1137726.0,0.0,0.0
MALARIA_MICR_POS,2020,2020,2020,N/A,N/A,N/A,1262841.0,0.0,0.0
MALARIA_INDIG,2021,2021,2021,N/A,N/A,N/A,1647744.0,0.0,0.0
MALARIA_EST_INCIDENCE,2009,2009,2009,N/A,N/A,N/A,33.01,24.59,43.19
MALARIA_EST_INCIDENCE,2014,2014,2014,N/A,N/A,N/A,36.76,25.95,50.37
MALARIA_PV_INDIG,2016,2016,2016,N/A,N/A,N/A,82175.0,0.0,0.0
MALARIA_TOTAL_CASES,2015,2015,2015,N/A,N/A,N/A,1102186.0,0.0,0.0
MALARIA_EST_INCIDENCE,2019,2019,2019,N/A,N/A,N/A,62.26,29.85,114.55
MALARIA_EST_INCIDENCE,2000,2000,2000,N/A,N/A,N/A,87.71,58.38,125.58
MALARIA_EST_INCIDENCE,2008,2008,2008,N/A,N/A,N/A,36.84,26.37,49.89
MALARIA_PRES_CASES,2019,2019,2019,N/A,N/A,N/A,1816930.0,0.0,0.0
MALARIA_EST_MORTALITY,2001,2001,2001,N/A,N/A,N/A,20.0,8.04,37.21
MALARIA_SUSPECTS,2023,2023,2023,N/A,N/A,N/A,2700365.0,0.0,0.0
MALARIA_MICR_POS,2018,2018,2018,N/A,N/A,N/A,1262210.0,0.0,0.0
MALARIA_EST_MORTALITY,2007,2007,2007,N/A,N/A,N/A,10.85,4.5,20.03
MALARIA_INDIG,2022,2022,2022,N/A,N/A,N/A,1355789.0,0.0,0.0
MALARIA_INDIG,2019,2019,2019,N/A,N/A,N/A,1752011.0,0.0,0.0
MALARIA_PRES_CASES,2016,2016,2016,N/A,N/A,N/A,331179.0,0.0,0.0
MALARIA_PF_INDIG,2021,2021,2021,N/A,N/A,N/A,1182363.0,0.0,0.0
MALARIA_EST_MORTALITY,2011,2011,2011,N/A,N/A,N/A,7.6,3.29,13.07
MALARIA_PV_INDIG,2020,2020,2020,N/A,N/A,N/A,170202.0,0.0,0.0
TB_c_newinc,2005,2005,2005,N/A,N/A,N/A,27562.0,0.0,0.0
TB_c_new_tsr,2010,2010,2010,N/A,N/A,N/A,75.0,0.0,0.0
TB_hiv_art_pct,2014,2014,2014,N/A,N/A,N/A,45.0,0.0,0.0
TB_rr_mdr,2008,2008,2008,N/A,N/A,N/A,70.0,0.0,0.0
TB_e_inc_tbhiv_100k,2006,2006,2006,N/A,N/A,N/A,15.0,2.7,37.0
TB_hivtest_pct,2007,2007,2007,N/A,N/A,N/A,1.7,0.0,0.0
TB_hivtest_pct,2011,2011,2011,N/A,N/A,N/A,15.0,0.0,0.0
TB_c_dst_rlt_new_pct,2019,2019,2019,N/A,N/A,N/A,51.0,0.0,0.0
TB_e_inc_rr_num,2018,2018,2018,N/A,N/A,N/A,1000.0,480.0,1600.0
TB_e_inc_tbhiv_100k,2005,2005,2005,N/A,N/A,N/A,4.1,0.4,12.0
TB_e_inc_tbhiv_num,2005,2005,2005,N/A,N/A,N/A,1600.0,160.0,4600.0
TB_rr_mdr,2019,2019,2019,N/A,N/A,N/A,221.0,0.0,0.0
TB_hivtest_pct,2021,2021,2021,N/A,N/A,N/A,21.0,0.0,0.0
TB_c_new_tsr,2009,2009,2009,N/A,N/A,N/A,76.0,0.0,0.0
TB_c_dst_rlt_new_pct,2018,2018,2018,N/A,N/A,N/A,20.0,0.0,0.0
TB_c_dst_rlt_ret_pct,2009,2009,2009,N/A,N/A,N/A,10.0,0.0,0.0
TB_rr_mdr,2015,2015,2015,N/A,N/A,N/A,152.0,0.0,0.0
TB_c_ret_tsr,2001,2001,2001,N/A,N/A,N/A,75.0,0.0,0.0
TB_e_inc_tbhiv_num,2014,2014,2014,N/A,N/A,N/A,1100.0,240.0,2700.0
TB_1,2017,2017,2017,N/A,N/A,N/A,63.0,44.0,97.0
TB_c_xdr_tsr,2013,2013,2013,N/A,N/A,N/A,0.0,0.0,0.0
TB_c_ret_tsr,2005,2005,2005,N/A,N/A,N/A,81.0,0.0,0.0
TB_c_dst_rlt_ret_pct,2012,2012,2012,N/A,N/A,N/A,7.4,0.0,0.0
TB_e_inc_num_014,2023,2023,2023,N/A,N/A,N/A,4000.0,2000.0,5900.0
TB_c_new_tsr,1998,1998,1998,N/A,N/A,N/A,65.0,0.0,0.0
TB_hiv_art_pct,2005,2005,2005,N/A,N/A,N/A,10.0,0.0,0.0
TB_c_mdr_tx,2010,2010,2010,N/A,N/A,N/A,50.0,0.0,0.0
TB_e_inc_tbhiv_100k,2013,2013,2013,N/A,N/A,N/A,3.3,0.67,8.1
TB_e_inc_tbhiv_100k,2008,2008,2008,N/A,N/A,N/A,3.5,0.55,9.2
TB_e_inc_tbhiv_100k,2003,2003,2003,N/A,N/A,N/A,4.0,0.4,12.0
TB_1,2006,2006,2006,N/A,N/A,N/A,49.0,20.0,250.0
TB_hiv_art_pct,2023,2023,2023,N/A,N/A,N/A,90.0,0.0,0.0
TB_hiv_art_pct,2019,2019,2019,N/A,N/A,N/A,99.0,0.0,0.0
TB_c_mdr_tx,2016,2016,2016,N/A,N/A,N/A,136.0,0.0,0.0
TB_e_inc_num,2011,2011,2011,N/A,N/A,N/A,38000.0,13000.0,75000.0
TB_1,2007,2007,2007,N/A,N/A,N/A,49.0,20.0,250.0
TB_c_ret_tsr,1998,1998,1998,N/A,N/A,N/A,58.0,0.0,0.0
TB_c_dst_rlt_ret_pct,2011,2011,2011,N/A,N/A,N/A,4.7,0.0,0.0
TB_c_new_tsr,2000,2000,2000,N/A,N/A,N/A,75.0,0.0,0.0
TB_c_newinc,2004,2004,2004,N/A,N/A,N/A,26567.0,0.0,0.0
TB_1,2005,2005,2005,N/A,N/A,N/A,50.0,20.0,240.0
TB_c_mdr_tx,2018,2018,2018,N/A,N/A,N/A,162.0,0.0,0.0
TB_hivtest_pct,2009,2009,2009,N/A,N/A,N/A,60.0,0.0,0.0
MDG_0000000020,2008,2008,2008,N/A,N/A,N/A,116.0,35.0,245.0
MDG_0000000020,2015,2015,2015,N/A,N/A,N/A,88.0,44.0,147.0
TB_c_mdr_tsr,2016,2016,2016,N/A,N/A,N/A,84.0,0.0,0.0
TB_e_inc_num,2016,2016,2016,N/A,N/A,N/A,34000.0,20000.0,51000.0
TB_1,2009,2009,2009,N/A,N/A,N/A,49.0,23.0,170.0
TB_1,2008,2008,2008,N/A,N/A,N/A,49.0,23.0,160.0
TB_c_new_tsr,2017,2017,2017,N/A,N/A,N/A,80.0,0.0,0.0
TB_e_inc_tbhiv_100k,2010,2010,2010,N/A,N/A,N/A,3.8,0.57,9.9
MDG_0000000020,2009,2009,2009,N/A,N/A,N/A,121.0,34.0,263.0
TB_rr_mdr,2009,2009,2009,N/A,N/A,N/A,202.0,0.0,0.0
TB_e_inc_tbhiv_num,2023,2023,2023,N/A,N/A,N/A,550.0,170.0,1200.0
TB_e_inc_tbhiv_num,2001,2001,2001,N/A,N/A,N/A,1700.0,150.0,5100.0
TB_c_dst_rlt_ret_pct,2021,2021,2021,N/A,N/A,N/A,99.0,0.0,0.0
TB_hivtest_pos_pct,2009,2009,2009,N/A,N/A,N/A,4.3,0.0,0.0
TB_c_newinc,2001,2001,2001,N/A,N/A,N/A,23997.0,0.0,0.0
TB_hiv_art_pct,2009,2009,2009,N/A,N/A,N/A,54.0,0.0,0.0
TB_c_mdr_tsr,2014,2014,2014,N/A,N/A,N/A,74.0,0.0,0.0
TB_c_dst_rlt_ret_pct,2022,2022,2022,N/A,N/A,N/A,100.0,0.0,0.0
TB_c_new_tsr,2012,2012,2012,N/A,N/A,N/A,75.0,0.0,0.0
TB_c_dst_rlt_ret_pct,2015,2015,2015,N/A,N/A,N/A,9.5,0.0,0.0
TB_c_ret_tsr,1997,1997,1997,N/A,N/A,N/A,54.0,0.0,0.0
TB_c_newinc,2006,2006,2006,N/A,N/A,N/A,28937.0,0.0,0.0
TB_e_inc_num,2004,2004,2004,N/A,N/A,N/A,54000.0,11000.0,129000.0
TB_e_inc_tbhiv_num,2006,2006,2006,N/A,N/A,N/A,5900.0,1100.0,15000.0
MDG_0000000020,2007,2007,2007,N/A,N/A,N/A,144.0,29.0,349.0
TB_1,2021,2021,2021,N/A,N/A,N/A,66.0,46.0,99.0
MDG_0000000020,2005,2005,2005,N/A,N/A,N/A,143.0,29.0,346.0
TB_c_mdr_tx,2022,2022,2022,N/A,N/A,N/A,150.0,0.0,0.0
TB_hivtest_pos_pct,2016,2016,2016,N/A,N/A,N/A,7.7,0.0,0.0
TB_hivtest_pos_pct,2005,2005,2005,N/A,N/A,N/A,83.0,0.0,0.0
TB_e_inc_num,2010,2010,2010,N/A,N/A,N/A,54000.0,16000.0,115000.0
TB_hivtest_pct,2015,2015,2015,N/A,N/A,N/A,43.0,0.0,0.0
TB_hivtest_pct,2008,2008,2008,N/A,N/A,N/A,14.0,0.0,0.0
TB_c_ret_tsr,2012,2012,2012,N/A,N/A,N/A,64.0,0.0,0.0
TB_hivtest_pct,2018,2018,2018,N/A,N/A,N/A,34.0,0.0,0.0
TB_hiv_art_pct,2022,2022,2022,N/A,N/A,N/A,99.0,0.0,0.0
TB_e_inc_tbhiv_num,2000,2000,2000,N/A,N/A,N/A,2000.0,150.0,6400.0
TB_c_dst_rlt_new_pct,2016,2016,2016,N/A,N/A,N/A,2.5,0.0,0.0
TB_e_inc_rr_num,2019,2019,2019,N/A,N/A,N/A,990.0,470.0,1500.0
TB_e_inc_tbhiv_100k,2011,2011,2011,N/A,N/A,N/A,3.5,0.65,8.7
TB_c_mdr_tsr,2019,2019,2019,N/A,N/A,N/A,83.0,0.0,0.0
MDG_0000000020,2001,2001,2001,N/A,N/A,N/A,139.0,30.0,331.0
TB_c_newinc,2021,2021,2021,N/A,N/A,N/A,18261.0,0.0,0.0
TB_e_inc_tbhiv_num,2002,2002,2002,N/A,N/A,N/A,1600.0,150.0,4600.0
TB_e_inc_rr_num,2017,2017,2017,N/A,N/A,N/A,1100.0,490.0,1700.0
TB_e_inc_tbhiv_100k,2007,2007,2007,N/A,N/A,N/A,15.0,2.8,36.0
MDG_0000000020,2012,2012,2012,N/A,N/A,N/A,103.0,38.0,202.0
TB_hiv_art_pct,2015,2015,2015,N/A,N/A,N/A,54.0,0.0,0.0
TB_e_inc_num,2009,2009,2009,N/A,N/A,N/A,53000.0,15000.0,115000.0
TB_c_dst_rlt_new_pct,2023,2023,2023,N/A,N/A,N/A,33.0,0.0,0.0
TB_c_ret_tsr,2018,2018,2018,N/A,N/A,N/A,76.0,0.0,0.0
TB_e_inc_tbhiv_100k,2014,2014,2014,N/A,N/A,N/A,2.9,0.62,6.9
TB_c_mdr_tsr,2015,2015,2015,N/A,N/A,N/A,21.0,0.0,0.0
TB_c_xdr_tsr,2019,2019,2019,N/A,N/A,N/A,100.0,0.0,0.0
TB_c_new_tsr,2002,2002,2002,N/A,N/A,N/A,78.0,0.0,0.0
TB_hiv_art_pct,2008,2008,2008,N/A,N/A,N/A,52.0,0.0,0.0
TB_e_inc_num,2007,2007,2007,N/A,N/A,N/A,59000.0,12000.0,144000.0
TB_e_inc_rr_num,2020,2020,2020,N/A,N/A,N/A,940.0,400.0,1500.0
TB_rr_mdr,2021,2021,2021,N/A,N/A,N/A,210.0,0.0,0.0
TB_hiv_art_pct,2016,2016,2016,N/A,N/A,N/A,99.0,0.0,0.0
TB_c_mdr_tsr,2012,2012,2012,N/A,N/A,N/A,62.0,0.0,0.0
TB_1,2018,2018,2018,N/A,N/A,N/A,64.0,46.0,95.0
TB_c_dst_rlt_ret_pct,2020,2020,2020,N/A,N/A,N/A,100.0,0.0,0.0
TB_hivtest_pct,2013,2013,2013,N/A,N/A,N/A,26.0,0.0,0.0
TB_e_inc_num,2020,2020,2020,N/A,N/A,N/A,29000.0,20000.0,40000.0
MDG_0000000020,2014,2014,2014,N/A,N/A,N/A,94.0,38.0,173.0
TB_e_inc_rr_num,2022,2022,2022,N/A,N/A,N/A,840.0,240.0,1400.0
TB_c_newinc,2008,2008,2008,N/A,N/A,N/A,24281.0,0.0,0.0
TB_e_inc_tbhiv_num,2007,2007,2007,N/A,N/A,N/A,6000.0,1200.0,15000.0
TB_c_ret_tsr,2002,2002,2002,N/A,N/A,N/A,77.0,0.0,0.0
TB_c_dst_rlt_ret_pct,2018,2018,2018,N/A,N/A,N/A,100.0,0.0,0.0
TB_e_inc_tbhiv_num,2015,2015,2015,N/A,N/A,N/A,990.0,250.0,2200.0
TB_c_mdr_tx,2017,2017,2017,N/A,N/A,N/A,102.0,0.0,0.0
TB_e_inc_tbhiv_100k,2022,2022,2022,N/A,N/A,N/A,1.2,0.36,2.5
TB_c_new_tsr,2020,2020,2020,N/A,N/A,N/A,86.0,0.0,0.0
TB_e_inc_tbhiv_100k,2015,2015,2015,N/A,N/A,N/A,2.5,0.63,5.5
TB_c_newinc,2017,2017,2017,N/A,N/A,N/A,20438.0,0.0,0.0
TB_e_inc_num,2023,2023,2023,N/A,N/A,N/A,25000.0,16000.0,37000.0
TB_c_newinc,2019,2019,2019,N/A,N/A,N/A,19790.0,0.0,0.0
TB_c_new_tsr,2016,2016,2016,N/A,N/A,N/A,78.0,0.0,0.0
MDG_0000000020,2018,2018,2018,N/A,N/A,N/A,71.0,48.0,100.0
TB_rr_mdr,2010,2010,2010,N/A,N/A,N/A,49.0,0.0,0.0
TB_e_inc_num,2012,2012,2012,N/A,N/A,N/A,38000.0,14000.0,74000.0
TB_e_inc_tbhiv_num,2020,2020,2020,N/A,N/A,N/A,620.0,200.0,1300.0
TB_rr_mdr,2020,2020,2020,N/A,N/A,N/A,160.0,0.0,0.0
TB_c_newinc,2013,2013,2013,N/A,N/A,N/A,19056.0,0.0,0.0
TB_c_dst_rlt_new_pct,2013,2013,2013,N/A,N/A,N/A,0.59,0.0,0.0
TB_c_newinc,2007,2007,2007,N/A,N/A,N/A,29270.0,0.0,0.0
TB_rr_mdr,2013,2013,2013,N/A,N/A,N/A,95.0,0.0,0.0
TB_c_new_tsr,2022,2022,2022,N/A,N/A,N/A,66.0,0.0,0.0
MDG_0000000020,2016,2016,2016,N/A,N/A,N/A,82.0,49.0,123.0
TB_1,2011,2011,2011,N/A,N/A,N/A,51.0,26.0,140.0
TB_hivtest_pct,2023,2023,2023,N/A,N/A,N/A,31.0,0.0,0.0
TB_hivtest_pos_pct,2003,2003,2003,N/A,N/A,N/A,4.0,0.0,0.0
TB_c_newinc,2015,2015,2015,N/A,N/A,N/A,18762.0,0.0,0.0
TB_e_inc_num,2014,2014,2014,N/A,N/A,N/A,36000.0,15000.0,67000.0
TB_e_inc_tbhiv_num,2019,2019,2019,N/A,N/A,N/A,660.0,220.0,1400.0
TB_1,2012,2012,2012,N/A,N/A,N/A,49.0,25.0,140.0
TB_c_new_tsr,1995,1995,1995,N/A,N/A,N/A,79.0,0.0,0.0
TB_e_inc_num,2018,2018,2018,N/A,N/A,N/A,32000.0,21000.0,44000.0
TB_c_mdr_tsr,2013,2013,2013,N/A,N/A,N/A,64.0,0.0,0.0
TB_hivtest_pct,2006,2006,2006,N/A,N/A,N/A,0.65,0.0,0.0
TB_e_inc_tbhiv_num,2003,2003,2003,N/A,N/A,N/A,1500.0,150.0,4300.0
TB_c_mdr_tx,2015,2015,2015,N/A,N/A,N/A,77.0,0.0,0.0
TB_e_inc_num,2017,2017,2017,N/A,N/A,N/A,33000.0,21000.0,47000.0
TB_e_inc_tbhiv_num,2017,2017,2017,N/A,N/A,N/A,800.0,250.0,1700.0
TB_hiv_art_pct,2010,2010,2010,N/A,N/A,N/A,100.0,0.0,0.0
TB_c_new_tsr,2021,2021,2021,N/A,N/A,N/A,88.0,0.0,0.0
TB_hivtest_pos_pct,2018,2018,2018,N/A,N/A,N/A,2.3,0.0,0.0
TB_e_inc_num,2002,2002,2002,N/A,N/A,N/A,50000.0,11000.0,118000.0
TB_hivtest_pos_pct,2021,2021,2021,N/A,N/A,N/A,3.5,0.0,0.0
TB_c_ret_tsr,2004,2004,2004,N/A,N/A,N/A,79.0,0.0,0.0
MDG_0000000020,2011,2011,2011,N/A,N/A,N/A,105.0,37.0,208.0
TB_hivtest_pct,2012,2012,2012,N/A,N/A,N/A,15.0,0.0,0.0
TB_c_new_tsr,2007,2007,2007,N/A,N/A,N/A,74.0,0.0,0.0
MDG_0000000020,2022,2022,2022,N/A,N/A,N/A,54.0,35.0,78.0
