GHO (CODE),GHO (DISPLAY),YEAR (DISPLAY),COUNTRY (DISPLAY),DIMENSION (NAME),Average
SA_0000001409,"Alcohol, abstainers lifetime (%), age-standardized",2022,Sudan,Both sexes,88.48898
GHED_GGHE-DGDP_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),2022,Sudan,,1.43
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2022,Sudan,Male,11.15515
RSUD_330,Main sector for treatment for drug use disorders,2022,Sudan,Opioid agonist maintenance therapy,0
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2022,Sudan,All types,0.0276
SA_0000001404,"Alcohol, drinkers only per capita (15+) consumption in litres of pure alcohol, three-year average",2022,Sudan,Female,0
MORT_100,Number of deaths,2022,Sudan,Both sexes,7199.47614
NCD_PAC_ADO,Insufficiently active (crude estimate),2022,Sudan,Both sexes,90.022745
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2022,Sudan,Female,0.06793
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2022,Sudan,Male,0.00778
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2022,Sudan,30 to 35 months,13.55
CM_02,Number of infant deaths,2022,Sudan,Male,35182
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),2022,Sudan,Both sexes,277.8462
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2022,Sudan,Female,0.00911
NCD_DTH_TOT,Total NCD Deaths (in thousands),2022,Sudan,Both sexes,113908.6
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2022,Sudan,Both sexes,0
W14_harm_effects_A,Do health warnings on cigarette packaging describe the harmful effects of tobacco use on health?,2022,Sudan,,0
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2022,Sudan,Both sexes,5106.7693
HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,2022,Sudan,,2200
TAXBEV_OTHERTAXES,Other taxes on beverages (%),2022,Sudan,Alcoholic,0
SDGHIV,New HIV infections (per 1000 uninfected population),2022,Sudan,Male,0.11
GHED_EXT_pc_US_SHA2011,External health expenditure (EXT) per capita in US$,2022,Sudan,,1.99
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Total,52.6
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2022,Sudan,Male,5.169525
MORT_200,Deaths per 1 000 live births,2022,Sudan,0-27 days,0.29306
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022,Sudan,0-4 years,0.21725
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2022,Sudan,Female,39.5
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Urban,46.2
NCD_CCS_CVDPlan,Existence of operational policy/strategy/action plan for cardiovascular diseases,2022,Sudan,,0
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),2022,Sudan,Both sexes,46.840645
CM_01,Number of under-five deaths,2022,Sudan,Both sexes,102777.5
HIV_0000000026,Number of new HIV infections,2022,Sudan,Both sexes,2900
SDGPM25,Concentrations of fine particulate matter (PM2.5),2022,Sudan,Total,26.48507
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,Sudan,Rural,1.09936
LIFE_0000000031,lx - number of people left alive at age x,2022,Sudan,Male,23060.66521
NCD_CHOL_MEANNONHDL_A,"Mean Non-HDL cholesterol, age-standardized",2022,Sudan,Male,2.8
SA_0000001411,"Alcohol, abstainers past 12 months (%), age-standardized",2022,Sudan,Female,96.05948
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2022,Sudan,Female,128.416995
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2022,Sudan,,62
P6_restaurants,National smoking ban in RESTAURANTS,2022,Sudan,,0
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2022,Sudan,Male,3.85
NCD_CHOL_MEANHDL_A,"Mean HDL cholesterol, age-standardized",2022,Sudan,Both sexes,1
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2022,Sudan,Male,0.02988
MORT_100,Number of deaths,2022,Sudan,Both sexes,2275.26737
NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",2022,Sudan,Female,4.1
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,Sudan,Rural,6.79284
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2022,Sudan,Male,4744.3205
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),2022,Sudan,Male,5.00206
MORT_100,Number of deaths,2022,Sudan,Both sexes,747.88314
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),2022,Sudan,Female,100.67844
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2022,Sudan,Both sexes,18.784025
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2022,Sudan,Both sexes,9.17759
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2022,Sudan,0 to 5 months,15.55
SA_0000001818,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption, projections",2022,Sudan,Both sexes,0.124355
CM_04,Number of deaths among children ages 5 to 9 years,2022,Sudan,Both sexes,5773
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2022,Sudan,Male,17322.41444
O_Quitline,Access to a toll-free quit line,2022,Sudan,,0
SA_0000001823,"Alcohol, tourist consumption (in litres of pure alcohol), three-year average",2022,Sudan,,0
W9_no_obscure_B,Health warnings on other smoked tobacco packaging must not be obscured in any way including by required markings such as tax stamps,2022,Sudan,,0
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2022,Sudan,Female,116590.8832
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2022,Sudan,Total,14.5
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Rural,4.45
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2022,Sudan,,94
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2022,Sudan,Total,33.1
MORT_200,Deaths per 1 000 live births,2022,Sudan,0-27 days,0.44231
UHC_SCI_CAPACITY,UHC Service Coverage sub-index on service capacity and access,2022,Sudan,,37.28251
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Rural,0.3
NCD_CCS_sulphonylurea,General availability of sulphonylurea(s) in the public health sector,2022,Sudan,,0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2022,Sudan,Female,6858.5
NCD_GLUC_04,Raised fasting blood glucose (>=7.0 mmol/L) (age-standardized estimate),2022,Sudan,Female,0
LIFE_0000000034,Tx - person-years lived above age x,2022,Sudan,Female,4393273.215
MORT_100,Number of deaths,2022,Sudan,Both sexes,1304.67703
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",2022,Sudan,Male,2.50753
HIV_0000000011,Reported number of children receiving antiretroviral therapy,2022,Sudan,,140
GHED_GGHE-DCHE_SHA2011,Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%),2022,Sudan,,14.19
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2022,Sudan,Severe,248.05
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",2022,Sudan,Female,10.84666
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,2022,Sudan,,1182363
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2022,Sudan,Both sexes,15.11807
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022,Sudan,1-59 months,0.03546
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2022,Sudan,Both sexes,1.79106
FINPROTECTION_IMP_NP190_POP,Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),2022,Sudan,Rural,3.73
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",2022,Sudan,Both sexes,14.732075
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),2022,Sudan,Urban,43.4
NCD_CCS_palliative_home,General availability of palliative care in community or home-based care in the public health system,2022,Sudan,,0
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2022,Sudan,Both sexes,429921.6706
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Rural,0.35
LIFE_0000000034,Tx - person-years lived above age x,2022,Sudan,Male,6658542.236
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2022,Sudan,Female,6
NCD_CHOL_MEANNONHDL_C,"Mean Non-HDL cholesterol, crude",2022,Sudan,Both sexes,2.75
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2022,Sudan,Both sexes,0.00319
ASSISTIVETECH_Q09,Existence of regulations/standards/guidelines/protocols on assistive technology,2022,Sudan,Summary,0
LIFE_0000000032,ndx - number of people dying between ages x and x+n,2022,Sudan,Female,6376.41714
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2022,Sudan,Both sexes,16.3
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2022,Sudan,Both sexes,60240.46
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2022,Sudan,Moderate,22.5
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),2022,Sudan,Female,16.754615
SDGSUICIDE,Crude suicide rates (per 100 000 population),2022,Sudan,Male,5.79
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2022,Sudan,Male,3.581125
RSUD_170,Involvement of representatives of affected or targeted populations in the development and formulation of policies and strategies for prevention for alcohol and drugs,2022,Sudan,Representatives of the alcohol industry,0
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2022,Sudan,Severe,3.4
NUTRITION_WH_3,"Severe wasted prevalence among children under 5 years of age   (% weight-for-height <-3 SD), survey-based estimates",2022,Sudan,Urban,4.9
W20_flavours_C,Smokeless tobacco packaging and labelling must not use descriptors depicting flavours,2022,Sudan,,0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2022,Sudan,Female,111.729945
MORT_200,Deaths per 1 000 live births,2022,Sudan,0-27 days,1.30205
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,Sudan,Rural,0.019825
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022,Sudan,0-4 years,0.00681
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2022,Sudan,Female,18.9
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),2022,Sudan,Both sexes,28.256635
NCD_CHOL_MEANTOTALCHOL_A,"Mean total cholesterol,  age-standardized",2022,Sudan,Female,4
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,2022,Sudan,Social workers,0
WSH_SANITATION_BASIC,Population using at least basic sanitation services (%),2022,Sudan,Total,23.04947
LIFE_0000000034,Tx - person-years lived above age x,2022,Sudan,Male,1260142.241
CM_02,Number of infant deaths,2022,Sudan,Male,40290.5
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",2022,Sudan,Male,21.089605
PHE_HHAIR_PROP_POP_POLLUTING_FUELS,Proportion of population with primary reliance on polluting fuels and technologies for cooking (%),2022,Sudan,Total,74.05
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2022,Sudan,Male,4368.5
NUTRITION_WH_2,"Wasting prevalence among children under 5 years of age (% weight-for-height <-2 SD), survey-based estimates",2022,Sudan,Male,15.7
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Urban,0.85
W15_specific_hw_A,Does the law mandate specific health warnings on cigarette packaging?,2022,Sudan,,0
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2022,Sudan,Male,0.02169
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2022,Sudan,Both sexes,430319.6087
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),2022,Sudan,,0.29
MORT_200,Deaths per 1 000 live births,2022,Sudan,1-59 months,4.42247
SDG_SH_DTH_RNCOM,"Number of deaths attributed to non-communicable diseases, by type of disease and sex",2022,Sudan,Female,30905.435
LIFE_0000000031,lx - number of people left alive at age x,2022,Sudan,Both sexes,93383.45724
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2022,Sudan,Male,8.132745
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,Sudan,Urban,0.452765
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),2022,Sudan,Mild,1225.5
PHE_HHAIR_POP_POLLUTING_FUELS,Population with primary reliance on polluting fuels and technologies for cooking (in millions),2022,Sudan,Rural,17.170425
NUTSTUNTINGPREV,"Stunting prevalence among children under 5 years of age (% height-for-age <-2 SD), model-based estimates",2022,Sudan,,36.6
MORT_MATERNALNUM,Number of maternal deaths,2022,Sudan,,10656.17261
SDGHIV,New HIV infections (per 1000 uninfected population),2022,Sudan,Male,0.095
LIFE_0000000031,lx - number of people left alive at age x,2022,Sudan,Male,92823.7155
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,2022,Sudan,Female,0.10296
AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",2022,Sudan,Female,170.724785
LIFE_0000000035,ex - expectation of life at age x,2022,Sudan,Female,14.84123
TOTENV_2,Age-standardized deaths attributable to the environment (per 100 000 population),2022,Sudan,Total,252.11241
TB_ret_rel_labconf,"Relapse cases: Pulmonary, bacteriologically confirmed",2022,Sudan,,655
MORT_200,Deaths per 1 000 live births,2022,Sudan,0-4 years,16.78874
NCDMORT3070,"Probability (%) of dying between age 30 and exact age 70 from any of cardiovascular disease, cancer, diabetes, or chronic respiratory disease",2022,Sudan,Both sexes,24.6067
NUTRITION_WA_2,"Underweight prevalence among children under 5 years of age   (% weight-for-age <-2 SD), survey-based estimates",2022,Sudan,48 to 59 months,36.5
LIFE_0000000034,Tx - person-years lived above age x,2022,Sudan,Female,6596715.551
W12_imports_dutyfree_B,Health warnings on other smoked tobacco packaging law applys to products whether manufactured domestically imported AND for duty-free sale,2022,Sudan,,0
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022,Sudan,0-4 years,0.22242
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Total,1.1
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022,Sudan,0-27 days,0.00803
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2022,Sudan,Female,15.05788
SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",2022,Sudan,Wine,0
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2022,Sudan,Female,15.539815
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),2022,Sudan,Both sexes,132.17237
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Rural,0.25
WHS3_46,Total tetanus - number of reported cases,2022,Sudan,,674
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2022,Sudan,Both sexes,17.62138
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2022,Sudan,Male,99842.83266
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2022,Sudan,,4979841
LIFE_0000000031,lx - number of people left alive at age x,2022,Sudan,Male,89125.91555
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,Sudan,Urban,0.016005
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2022,Sudan,Both sexes,430170.6893
M_Group,Monitoring tobacco use and prevention policies,2022,Sudan,,0
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,2022,Sudan,,580145
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,Sudan,Rural,0.00765
AIR_7,Ambient air pollution attributable DALYs,2022,Sudan,Male,29608.55387
LIFE_0000000030,nqx - probability of dying between ages x and x+n,2022,Sudan,Male,0.3103
WHS6_102,Hospital beds (per 10 000 population),2022,Sudan,,7.6
LIFE_0000000031,lx - number of people left alive at age x,2022,Sudan,Female,32251.32029
LIFE_0000000031,lx - number of people left alive at age x,2022,Sudan,Both sexes,82953.50165
NCD_GLUC_03,Raised fasting blood glucose (>= 7.0 mmol/L) (crude estimate),2022,Sudan,Male,0
RSUD_770,Postgraduate training programme in prevention,2022,Sudan,Community health workers,0
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),2022,Sudan,,60
HIV_0000000001,Estimated number of people (all ages) living with HIV,2022,Sudan,,27500
NUTRITION_ANAEMIA_NONPREGNANT_PREV,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),2022,Sudan,Female,40.55
LIFE_0000000031,lx - number of people left alive at age x,2022,Sudan,Male,93621.45093
LIFE_0000000033,nLx - person-years lived between ages x and x+n,2022,Sudan,Both sexes,458653.3478
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",2022,Sudan,Male,18.16473
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2022,Sudan,Female,6.6858
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2022,Sudan,Both sexes,67.417055
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Urban,26.9
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",2022,Sudan,Male,11.320305
Yth_daily_smokeless,Prevalence of daily smokeless tobacco use among adolescents (%),2022,Sudan,Both sexes,0
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",2022,Sudan,Female,15.01421
PHE_HHAIR_POP_CATEGORY_FUELS,"Population with primary reliance on fuels and technologies for cooking, by fuel type (in millions)",2022,Sudan,Rural,16.31488
LIFE_0000000031,lx - number of people left alive at age x,2022,Sudan,Male,47314.3627
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),2022,Sudan,,0
GHED_GGHE-D_pc_US_SHA2011,Domestic general government health expenditure (GGHE-D) per capita in US$,2022,Sudan,,15.13
CM_04,Number of deaths among children ages 5 to 9 years,2022,Sudan,Male,4069.5
MORT_300,Distribution of causes of death among children aged < 5 years (%),2022,Sudan,1-59 months,0
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2022,Sudan,Female,3.95
MH_12,Age-standardized suicide rates (per 100 000 population),2022,Sudan,Male,7.8708
NCD_CHOL_MEANTOTALCHOL_C,"Mean total cholesterol,  crude",2022,Sudan,Both sexes,3.95
PHE_HHAIR_PROP_POP_CATEGORY_FUELS,"Proportion of population with primary reliance on fuels and technologies for cooking, by fuel type (%)",2022,Sudan,Urban,14
