,name,amenity,addr_city,osm_id,osm_type,geometry,name_english,Latitude,Longitude,City,State
24,صيدلية سبأ,pharmacy,,4635108889,nodes,POINT (32.5774348 15.5695767),Saba Pharmacy,15.5695767,32.5774348,Khartoum,Khartoum
25,صيدلية السواحلي,pharmacy,,4629108290,nodes,POINT (32.578515 15.565561),Al-Sawahili Pharmacy,15.565561,32.578515,Khartoum,Khartoum
26,صيدلية مكة 7,pharmacy,,4625417704,nodes,POINT (32.5783619 15.5635911),Mecca Pharmacy 7,15.5635911,32.5783619,Khartoum,Khartoum
27,صيدلية بله الفكي,pharmacy,,4631474195,nodes,POINT (32.582725 15.5384998),Billah Al-Faki Pharmacy,15.5384998,32.582725,Khartoum,Khartoum
28,عيادة سعودي لطب الأسنان,dentist,الخرطوم,5726254679,nodes,POINT (32.5356057 15.5696033),Saudi Dental Clinic,15.5696033,32.5356057,Khartoum,Khartoum
29,صيدلية رودينا,pharmacy,,7746379134,nodes,POINT (32.560688 15.5878124),Rodina Pharmacy,15.5878124,32.560688,Khartoum,Khartoum
30,صيدلية الهجان,pharmacy,,7160741565,nodes,POINT (32.444561 15.6126871),Al-Hagan Pharmacy,15.6126871,32.444561,Omdurman,Khartoum
31,صيدلية محمد سعيد - شارع ليبيا,pharmacy,,7160228872,nodes,POINT (32.4411888 15.6138124),Mohamed Saeed Pharmacy - Libya Street,15.6138124,32.4411888,Omdurman,Khartoum
32,صيدلية محمد يس,pharmacy,,7158702949,nodes,POINT (32.4581871 15.6134377),Mohammed Yassin Pharmacy,15.6134377,32.4581871,Omdurman,Khartoum
33,صيدلية المربعات,pharmacy,,7154067864,nodes,POINT (32.454937 15.6083126),Squares Pharmacy,15.6083126,32.454937,Omdurman,Khartoum
34,صيدلية التهامي,pharmacy,,7154131902,nodes,POINT (32.4595642 15.6086874),Al-Tahami Pharmacy,15.6086874,32.4595642,Omdurman,Khartoum
35,صيدلية مريم إسحق,pharmacy,,7151297171,nodes,POINT (32.456562 15.5870628),Maryam Ishaq Pharmacy,15.5870628,32.456562,Omdurman,Khartoum
36,صيدلية هرفة,pharmacy,,7151340990,nodes,POINT (32.4523125 15.5826874),Harfa Pharmacy,15.5826874,32.4523125,Omdurman,Khartoum
37,مركز الخرطوم التخصصي للاورام,hospital,,7038742274,nodes,POINT (32.5349506 15.6035021),Khartoum Specialized Oncology Center,15.6035021,32.5349506,Khartoum,Khartoum
38,صيدلية جبرة شمال,pharmacy,,7004890945,nodes,POINT (32.5256882 15.5365629),Jabrah North Pharmacy,15.5365629,32.5256882,Khartoum,Khartoum
39,مركز ام القري جنوب الصحي,clinic,,7040720575,nodes,POINT (32.5747989 15.7515477),Umm Al Qura South Health Center,15.7515477,32.5747989,Omdurman,Khartoum
40,صيدلية محمد سرور,pharmacy,,6974078540,nodes,POINT (32.5766869 15.7510624),Mohamed Sarour Pharmacy,15.7510624,32.5766869,Omdurman,Khartoum
41,صيدلية دوائي - ام القرى,pharmacy,,7730679141,nodes,POINT (32.5790634 15.7505627),Dawai Pharmacy - Umm Al Qura,15.7505627,32.5790634,Omdurman,Khartoum
42,صيدلية ام القرى البيطرية,pharmacy,,6974069262,nodes,POINT (32.5881882 15.7585621),Umm Al Qura Veterinary Pharmacy,15.7585621,32.5881882,Omdurman,Khartoum
43,صيدلية التعافي الحديثة,pharmacy,,6973914412,nodes,POINT (32.5823135 15.7646875),Modern Recovery Pharmacy,15.7646875,32.5823135,Omdurman,Khartoum
44,صيدلية سيف الله,pharmacy,,6974069310,nodes,POINT (32.586937 15.7764378),Saif Allah Pharmacy,15.7764378,32.586937,Omdurman,Khartoum
45,صيدلية ياسين,pharmacy,,7038287176,nodes,POINT (32.6238649 15.6332069),Yassin Pharmacy,15.6332069,32.6238649,Khartoum,Khartoum
46,صيدلية ايفان,pharmacy,,6824577886,nodes,POINT (32.6244305 15.6344297),Evan Pharmacy,15.6344297,32.6244305,Khartoum,Khartoum
47,صيدلية لايف كير,pharmacy,,6832110554,nodes,POINT (32.6305632 15.6297188),Life Care Pharmacy,15.6297188,32.6305632,Khartoum,Khartoum
48,صيدلية سعاد 7,pharmacy,,7050332799,nodes,POINT (32.6329146 15.6406018),Saad Pharmacy 7,15.6406018,32.6329146,Khartoum,Khartoum
49,صيدلية ابو حسام,pharmacy,,6832110558,nodes,POINT (32.6319196 15.6379525),Abu Hisham Pharmacy,15.6379525,32.6319196,Khartoum,Khartoum
50,صيدلية كوين,pharmacy,,7050332800,nodes,POINT (32.6390093 15.6418846),Queen Pharmacy,15.6418846,32.6390093,Khartoum,Khartoum
51,صيدلية التنعيم,pharmacy,,7050332801,nodes,POINT (32.6328409 15.6468599),Al Taneem Pharmacy,15.6468599,32.6328409,Khartoum,Khartoum
52,صيدليه ماما فهيمه,pharmacy,,9041209075,nodes,POINT (32.6356431 15.7013502),Mama Fahima Pharmacy,15.7013502,32.6356431,Omdurman,Khartoum
53,عيادة العبور لطب و جراحة الاسنان,clinic,,7040091882,nodes,POINT (32.4899857 15.6924137),Al-Obour Dental Clinic,15.6924137,32.4899857,Omdurman,Khartoum
54,صيدلية شوامخ الشهداء,pharmacy,,7023083920,nodes,POINT (32.4860052 15.6447007),Shawamekh Al-Shohada Pharmacy,15.6447007,32.4860052,Omdurman,Khartoum
55,صيدلية النخيل,pharmacy,,6964857566,nodes,POINT (32.5790634 15.7203121),Palm Pharmacy,15.7203121,32.5790634,Omdurman,Khartoum
56,مركز الدكتور جلال البيطري,clinic,,6943123790,nodes,POINT (32.5481873 15.6896877),Dr. Jalal Veterinary Center,15.6896877,32.5481873,Omdurman,Khartoum
57,صيدلية الملاك,pharmacy,,5070985439,nodes,POINT (33.5354004 14.3886943),Angel Pharmacy,14.3886943,33.5354004,Wad Medani,Gezira
58,صيدلية المحمدة,pharmacy,,7128934911,nodes,POINT (32.6928139 15.5141878),Al-Mohammadah Pharmacy,15.5141878,32.6928139,Khartoum,Khartoum
59,صيدلية تساهيل,pharmacy,,7129169259,nodes,POINT (32.6895638 15.5171871),Tasahil Pharmacy,15.5171871,32.6895638,Khartoum,Khartoum
60,صيدلية بسام محمد صلاح,pharmacy,,7004727457,nodes,POINT (32.5245628 15.5273123),Bassam Mohamed Salah Pharmacy,15.5273123,32.5245628,Khartoum,Khartoum
61,صيدلية المشرق,pharmacy,,4548458928,nodes,POINT (32.5793999 15.5074053),Al Mashreq Pharmacy,15.5074053,32.5793999,Khartoum,Khartoum
62,,pharmacy,,8400289129,nodes,POINT (33.0925522 15.0140674),,15.0140674,33.0925522,Wad Rawah,White Nile
63,صيدلية ود موسي,pharmacy,,7834704444,nodes,POINT (32.4411412 15.6834392),Wad Musa Pharmacy,15.6834392,32.4411412,Omdurman,Khartoum
64,صيدلية د مايكل,pharmacy,,7252287554,nodes,POINT (32.4863129 15.6591873),Dr. Michael's Pharmacy,15.6591873,32.4863129,Omdurman,Khartoum
65,صيدلية محمد سعيد - ش ود البشير,pharmacy,,7167499596,nodes,POINT (32.4465637 15.6478128),Mohamed Saeed Pharmacy - Wad Al Bashir Street,15.6478128,32.4465637,Omdurman,Khartoum
66,صيدلية عبد العزيز,pharmacy,,7158755106,nodes,POINT (32.4609375 15.621563),Abdul Aziz Pharmacy,15.621563,32.4609375,Omdurman,Khartoum
67,مركز بريفينسيا للبصريات,doctors,,6967918108,nodes,POINT (32.5069676 15.7003437),Prevencia Optical Center,15.7003437,32.5069676,Omdurman,Khartoum
68,صيدلية دكتور امنية معتصم,pharmacy,,6964162279,nodes,POINT (32.4992486 15.6821884),Dr. Amani Moatasem Pharmacy,15.6821884,32.4992486,Omdurman,Khartoum
69,صيدلية آمن,pharmacy,,6943123262,nodes,POINT (32.5489388 15.6913128),Safe Pharmacy,15.6913128,32.5489388,Omdurman,Khartoum
70,صيدلية اربيل,pharmacy,,6795826338,nodes,POINT (32.5086777 15.7059596),Erbil Pharmacy,15.7059596,32.5086777,Omdurman,Khartoum
71,صيدلية سديم,pharmacy,,6814349338,nodes,POINT (32.4596196 15.7349285),Sedem Pharmacy,15.7349285,32.4596196,Omdurman,Khartoum
72,صيدلية الموردة,pharmacy,,6063472504,nodes,POINT (32.4884043 15.6301165),Al-Mawridah Pharmacy,15.6301165,32.4884043,Omdurman,Khartoum
73,Medani Health Centre,,,7301850739,nodes,POINT (33.5000462 14.4275804),Medani Health Centre,14.4275804,33.5000462,Wad Medani,Gezira
74,المركز السوداني للسمع,,,6063682020,nodes,POINT (32.4844281 15.6431792),Sudanese Hearing Center,15.6431792,32.4844281,Omdurman,Khartoum
75,مركز صحي,hospital,,7423356032,nodes,POINT (33.2238604 15.0976819),Health center,15.0976819,33.2238604,Wad Rawah,White Nile
76,,clinic,,8279677910,nodes,POINT (33.0974814 15.0135224),,15.0135224,33.0974814,Al Hilaliyya,Al Jazirah
77,,pharmacy,,8279677909,nodes,POINT (33.0974817 15.0136824),,15.0136824,33.0974817,Al Hilaliyya,Al Jazirah
78,صيدلية اهل القران,pharmacy,,7122703968,nodes,POINT (32.6873131 15.5096874),Quran People Pharmacy,15.5096874,32.6873131,Khartoum,Khartoum
79,صيدلية المقدام,pharmacy,,6832240762,nodes,POINT (32.634124 15.608869),Al-Muqaddam Pharmacy,15.608869,32.634124,Khartoum,Khartoum
80,صيدلية امباقو 3,pharmacy,,6812382686,nodes,POINT (32.6338509 15.6019011),Ambago Pharmacy 3,15.6019011,32.6338509,Khartoum,Khartoum
81,مجمع عيادات كحيل الطبي,clinic,,7040091877,nodes,POINT (32.6279088 15.5976743),Kaheel Medical Clinics Complex,15.5976743,32.6279088,Khartoum,Khartoum
82,صيدلة اوسارا,pharmacy,,6832066729,nodes,POINT (32.6364483 15.592603),Osara Pharmacy,15.592603,32.6364483,Khartoum,Khartoum
83,صيدلية ساره الحديثه,pharmacy,,6832212137,nodes,POINT (32.6411024 15.6163966),Sarah's Modern Pharmacy,15.6163966,32.6411024,Khartoum,Khartoum
84,صيدلية ايهاف,pharmacy,,6824557242,nodes,POINT (32.6204033 15.6110993),Ehaf Pharmacy,15.6110993,32.6204033,Khartoum,Khartoum
85,صيدلية عزنا,pharmacy,,8044103578,nodes,POINT (32.5659751 15.4869472),Ezzna Pharmacy,15.4869472,32.5659751,Khartoum,Khartoum
86,صيدلية يسر,pharmacy,,8042141787,nodes,POINT (32.5622076 15.4923143),Yasser Pharmacy,15.4923143,32.5622076,Khartoum,Khartoum
87,صيدلية اواصر,pharmacy,,7905516320,nodes,POINT (32.4993995 15.4881355),Awaser Pharmacy,15.4881355,32.4993995,Khartoum,Khartoum
88,صيدلية الوسيلة - الوحدة,pharmacy,,7069354986,nodes,POINT (32.4884377 15.449688),Al Wasila Pharmacy - Al Wahda,15.449688,32.4884377,Khartoum,Khartoum
89,صيدلية الشهيد ناجي,pharmacy,,7040858566,nodes,POINT (32.4916878 15.4934378),Martyr Naji Pharmacy,15.4934378,32.4916878,Khartoum,Khartoum
90,صيدلية ضحي,pharmacy,,49230629,nodes,POINT (32.4707046 15.6075029),Dhahi Pharmacy,15.6075029,32.4707046,Omdurman,Khartoum
91,صدلية السواحلي,pharmacy,,1917297176,nodes,POINT (32.5739 15.5670664),Swahili Pharmacy,15.5670664,32.5739,Khartoum,Khartoum
92,,,,8279677908,nodes,POINT (33.0973942 15.013706),,15.013706,33.0973942,Al Hilaliyya,Al Jazirah
93,kutrang pharmacy,pharmacy,,10684595006,nodes,POINT (32.9625404 15.2746866),kutrang pharmacy,15.2746866,32.9625404,Wad Rawah,White Nile
94,Dr. Samir Louis,clinic,,10684201094,nodes,POINT (32.4928205 15.6423642),Dr. Samir Louis,15.6423642,32.4928205,Omdurman,Khartoum
95,مركزصحي كترانج,clinic,,10684601105,nodes,POINT (32.9635887 15.2770427),Ketrang Health Center,15.2770427,32.9635887,Wad Rawah,White Nile
96,مركز صحى حاجة سكينة,,,10607704447,nodes,POINT (32.5017079 15.646511),Haja Sakina Health Center,15.646511,32.5017079,Omdurman,Khartoum
97,مستشفى سعد أبو العلا التعليمي,hospital,,8642470417,nodes,POINT (32.5439501 15.5621123),Saad Abu El-Ela Teaching Hospital,15.5621123,32.5439501,Khartoum,Khartoum
98,,clinic,,7452472488,nodes,POINT (26.1301479 11.4626846),,11.4626846,26.1301479,El Daein,East Darfur
99,,pharmacy,,7452473785,nodes,POINT (26.131453 11.4617787),,11.4617787,26.131453,El Daein,East Darfur
100,صيدلية المك نمر,pharmacy,الخرطوم,6008262785,nodes,POINT (32.5233092 15.5849886),Mak Nimr Pharmacy,15.5849886,32.5233092,Khartoum,Khartoum
101,مستشفى القابلات للولادة,hospital,,1868551914,nodes,POINT (32.4897019 15.635974),Midwifery Hospital,15.635974,32.4897019,Omdurman,Khartoum
102,مستشفى الرباط الجامعي,hospital,,6007346723,nodes,POINT (32.5591645 15.6115715),Rabat University Hospital,15.6115715,32.5591645,Khartoum,Khartoum
103,مستشفى جعفر بن عوف للأطفال,hospital,,6817315759,nodes,POINT (32.5347739 15.5996416),Jaafar Ibn Auf Children's Hospital,15.5996416,32.5347739,Khartoum,Khartoum
104,مستشفى الأنف والأذن والحنجرة,hospital,,7038287140,nodes,POINT (32.5294337 15.5981035),ENT Hospital,15.5981035,32.5294337,Khartoum,Khartoum
105,مستشفى الذرة,hospital,,7038742268,nodes,POINT (32.5295667 15.5975651),Corn Hospital,15.5975651,32.5295667,Khartoum,Khartoum
106,مستشفى العيون,hospital,,7038742276,nodes,POINT (32.5453181 15.6123042),Eye Hospital,15.6123042,32.5453181,Khartoum,Khartoum
107,مستشفى تقى التخصصي,hospital,,7039034612,nodes,POINT (32.4892178 15.6471631),Taqi Specialized Hospital,15.6471631,32.4892178,Omdurman,Khartoum
108,مستشفى عمر محمد الفكي,hospital,,7040720577,nodes,POINT (32.5820848 15.7801458),Omar Mohammed Al Faki Hospital,15.7801458,32.5820848,Omdurman,Khartoum
109,مشرحة مستشفى امدرمان التعليمي,hospital,,7246990945,nodes,POINT (32.4866867 15.6411877),Omdurman Teaching Hospital Morgue,15.6411877,32.4866867,Omdurman,Khartoum
110,مستشفى هواشا الصيني,hospital,,7856337095,nodes,POINT (32.5513001 15.5672084),Huasha Hospital China,15.5672084,32.5513001,Khartoum,Khartoum
111,مستشفى الأربعين التخصصي,hospital,,6795068075,nodes,POINT (32.4823752 15.6371718),Al-Arbaeen Specialized Hospital,15.6371718,32.4823752,Omdurman,Khartoum
112,مستشفى رويال كير,hospital,,7141115685,nodes,POINT (32.5709038 15.5995512),Royal Care Hospital,15.5995512,32.5709038,Khartoum,Khartoum
113,مستشفى الامراض الجلديه والتناسليه,hospital,,8006763723,nodes,POINT (32.4939567 15.641767),Dermatology and Venereology Hospital,15.641767,32.4939567,Omdurman,Khartoum
114,مستشفى المنيرة الجراحي,hospital,,9078270795,nodes,POINT (32.5294018 15.5986224),Al-Munira Surgical Hospital,15.5986224,32.5294018,Khartoum,Khartoum
115,مستشفى اللواء عمر ساوي الطبي,hospital,,9078273718,nodes,POINT (32.559641 15.6124025),Brigadier General Omar Sawi Medical Hospital,15.6124025,32.559641,Khartoum,Khartoum
116,صيدلية الحياة الخضراء,pharmacy,,7401901230,nodes,POINT (32.5863113 15.5564375),Green Life Pharmacy,15.5564375,32.5863113,Khartoum,Khartoum
117,صيدلية هبة الله,pharmacy,,7401930356,nodes,POINT (32.5901871 15.553812),Hiba Allah Pharmacy,15.553812,32.5901871,Khartoum,Khartoum
118,صيدلية فريندز,pharmacy,,7366341690,nodes,POINT (32.5806885 15.5536871),Friends Pharmacy,15.5536871,32.5806885,Khartoum,Khartoum
119,صيدلية تالين,pharmacy,,7331538281,nodes,POINT (32.5808144 15.5510626),Tallinn Pharmacy,15.5510626,32.5808144,Khartoum,Khartoum
120,صيدلية محمد بابكر,pharmacy,,7331558219,nodes,POINT (32.5803108 15.5523129),Mohamed Babiker Pharmacy,15.5523129,32.5803108,Khartoum,Khartoum
121,,dentist,,4634557989,nodes,POINT (32.4768026 15.6917653),,15.6917653,32.4768026,Omdurman,Khartoum
122,,pharmacy,,7301850731,nodes,POINT (33.5200904 14.3970698),,14.3970698,33.5200904,Wad Medani,Gezira
123,صيدلية ساجد,pharmacy,,7294424715,nodes,POINT (32.5635643 15.6065626),Sajid Pharmacy,15.6065626,32.5635643,Khartoum,Khartoum
124,عيادة أسنان,dentist,الخرطوم,4548448621,nodes,POINT (32.5351839 15.5731571),Dental clinic,15.5731571,32.5351839,Khartoum,Khartoum
125,,pharmacy,الخرطوم,4548450116,nodes,POINT (32.5362994 15.5654581),,15.5654581,32.5362994,Khartoum,Khartoum
126,,pharmacy,الخرطوم,4548450395,nodes,POINT (32.5421015 15.5778498),,15.5778498,32.5421015,Khartoum,Khartoum
127,صيدلية سوبر درق,pharmacy,,7398366777,nodes,POINT (32.5764389 15.5883121),Super Drug Pharmacy,15.5883121,32.5764389,Khartoum,Khartoum
128,صيدلية إينورا,pharmacy,,4548458927,nodes,POINT (32.5712155 15.5040073),Inora Pharmacy,15.5040073,32.5712155,Khartoum,Khartoum
129,صيدلية ابو حربة,pharmacy,,7252257118,nodes,POINT (32.4891891 15.6514378),Abu Harba Pharmacy,15.6514378,32.4891891,Omdurman,Khartoum
130,صيدلية ايمان,pharmacy,,7252300545,nodes,POINT (32.4855614 15.6563129),Iman Pharmacy,15.6563129,32.4855614,Omdurman,Khartoum
131,صيدلية المحبة,pharmacy,,7252314385,nodes,POINT (32.484314 15.651063),Love Pharmacy,15.651063,32.484314,Omdurman,Khartoum
132,صيدلية المركزية 2,pharmacy,,7245633165,nodes,POINT (32.4799385 15.6413126),Central Pharmacy 2,15.6413126,32.4799385,Omdurman,Khartoum
133,صيدلية العباسية,pharmacy,,7245723881,nodes,POINT (32.4818115 15.6368122),Abbassia Pharmacy,15.6368122,32.4818115,Omdurman,Khartoum
134,صيدلية ام وائل,pharmacy,,7245724152,nodes,POINT (32.4814377 15.635438),Umm Wael Pharmacy,15.635438,32.4814377,Omdurman,Khartoum
135,صيدلية الشهيد نعمان,pharmacy,,7245772198,nodes,POINT (32.4805641 15.6321878),Martyr Naaman Pharmacy,15.6321878,32.4805641,Omdurman,Khartoum
136,صيدلية بصري,pharmacy,,7245491377,nodes,POINT (32.4633141 15.6451874),Basri Pharmacy,15.6451874,32.4633141,Omdurman,Khartoum
137,صيدلية شفاء العليل,pharmacy,,7236627430,nodes,POINT (32.4196892 15.6635628),Shifa Al-Aleel Pharmacy,15.6635628,32.4196892,Omdurman,Khartoum
138,صيدلية اخر محطة - امبدة,pharmacy,,7216104533,nodes,POINT (32.4379387 15.6754379),Last stop pharmacy - Omdurman,15.6754379,32.4379387,Omdurman,Khartoum
139,صيدلية كاراس,pharmacy,,7183598133,nodes,POINT (32.4401894 15.6635628),Karas Pharmacy,15.6635628,32.4401894,Omdurman,Khartoum
140,صيدلية بن عمر,pharmacy,,7176300502,nodes,POINT (32.4676857 15.7039375),Ben Omar Pharmacy,15.7039375,32.4676857,Omdurman,Khartoum
141,صيدلية ود البشير,pharmacy,,7170213289,nodes,POINT (32.4606857 15.6496878),Wad Al Bashir Pharmacy,15.6496878,32.4606857,Omdurman,Khartoum
142,صيدلية الاول,pharmacy,,7170214004,nodes,POINT (32.4609375 15.6489372),First Pharmacy,15.6489372,32.4609375,Omdurman,Khartoum
143,صيدلية الرواد,pharmacy,,4625443497,nodes,POINT (32.576835 15.5755884),Al Rowad Pharmacy,15.5755884,32.576835,Khartoum,Khartoum
144,صيدلية سماح,pharmacy,,4625443498,nodes,POINT (32.5771276 15.5736659),Samah Pharmacy,15.5736659,32.5771276,Khartoum,Khartoum
145,صيدلية النادي,pharmacy,,7398309791,nodes,POINT (32.5764389 15.5784378),Club Pharmacy,15.5784378,32.5764389,Khartoum,Khartoum
146,صيدلية الجميعاب,pharmacy,,7180442264,nodes,POINT (32.4570618 15.6593122),All ages pharmacy,15.6593122,32.4570618,Omdurman,Khartoum
147,صيدلية النمسي,pharmacy,,7180480800,nodes,POINT (32.4559364 15.6606874),Al Namsi Pharmacy,15.6606874,32.4559364,Omdurman,Khartoum
148,صيدلية حسن صبري,pharmacy,,7180487229,nodes,POINT (32.4498138 15.661437),Hassan Sabry Pharmacy,15.661437,32.4498138,Omdurman,Khartoum
149,صيدلية كنداكة,pharmacy,,7176160414,nodes,POINT (32.4563141 15.7069378),Kandaka Pharmacy,15.7069378,32.4563141,Omdurman,Khartoum
150,صيدلية مجمع مكة التخصصي,pharmacy,,7176032367,nodes,POINT (32.461937 15.6893129),Mecca Specialized Complex Pharmacy,15.6893129,32.461937,Omdurman,Khartoum
151,صيدلية ملاك,pharmacy,,7154080257,nodes,POINT (32.4506874 15.5905628),Angel Pharmacy,15.5905628,32.4506874,Omdurman,Khartoum
152,صيدلية الراوي,pharmacy,,7151283776,nodes,POINT (32.4573135 15.5880623),Al Rawi Pharmacy,15.5880623,32.4573135,Omdurman,Khartoum
153,صيدلية القرن21,pharmacy,,7169721955,nodes,POINT (32.4364357 15.6480627),21st century pharmacy,15.6480627,32.4364357,Omdurman,Khartoum
154,صيدلية البحيري,pharmacy,,7169496284,nodes,POINT (32.4500618 15.6246872),Al-Bahary Pharmacy,15.6246872,32.4500618,Omdurman,Khartoum
155,صيدلية بيسان,pharmacy,,7166719657,nodes,POINT (32.444561 15.6299372),Bissan Pharmacy,15.6299372,32.444561,Omdurman,Khartoum
156,صيدلية قيلي امبدة,pharmacy,,7166684762,nodes,POINT (32.4439392 15.6248121),Qili Pharmacy Omdurman,15.6248121,32.4439392,Omdurman,Khartoum
157,صيدلية بر الوالدين,pharmacy,,7166686260,nodes,POINT (32.4366875 15.6245623),Parents Pharmacy,15.6245623,32.4366875,Omdurman,Khartoum
158,صيدلية ماسي,pharmacy,,7166688906,nodes,POINT (32.4358139 15.6174374),Massey Pharmacy,15.6174374,32.4358139,Omdurman,Khartoum
159,صيدلية الزرقاء الحديثة,pharmacy,,7166704932,nodes,POINT (32.4354362 15.6148129),Modern Zarqa Pharmacy,15.6148129,32.4354362,Omdurman,Khartoum
160,صيدلية اولاد مجذوب,pharmacy,,7166052623,nodes,POINT (32.4620628 15.6290627),Awlad Majzoub Pharmacy,15.6290627,32.4620628,Omdurman,Khartoum
161,صيدلية كيور كير,pharmacy,,7166064305,nodes,POINT (32.4610634 15.6325626),Cure Care Pharmacy,15.6325626,32.4610634,Omdurman,Khartoum
162,صيدلية د عبدالله,pharmacy,,7166076886,nodes,POINT (32.4615631 15.6320629),Dr. Abdullah Pharmacy,15.6320629,32.4615631,Omdurman,Khartoum
163,صيدلية الحجر الاسود,pharmacy,,7166090439,nodes,POINT (32.4614372 15.6400623),Black Stone Pharmacy,15.6400623,32.4614372,Omdurman,Khartoum
164,صيدلية الاعراك,pharmacy,,7159914844,nodes,POINT (32.4343109 15.5965624),Al-Arak Pharmacy,15.5965624,32.4343109,Omdurman,Khartoum
165,صيدلية السلام,pharmacy,,7151305757,nodes,POINT (32.4560623 15.5856876),Peace Pharmacy,15.5856876,32.4560623,Omdurman,Khartoum
166,صيدلية نبع الخير,pharmacy,,7129208388,nodes,POINT (32.6911888 15.5221872),Nabaa Al Khair Pharmacy,15.5221872,32.6911888,Khartoum,Khartoum
167,صيدلية الهلتون,pharmacy,,7129210153,nodes,POINT (32.689064 15.5215626),Hilton Pharmacy,15.5215626,32.689064,Khartoum,Khartoum
168,,pharmacy,,4548474198,nodes,POINT (32.5379686 15.5694209),,15.5694209,32.5379686,Khartoum,Khartoum
169,صيدلية الواحة سوبا,pharmacy,,7095683011,nodes,POINT (32.6315613 15.4924374),Oasis Pharmacy Soba,15.4924374,32.6315613,Khartoum,Khartoum
170,صيدلية جلال واجلال,pharmacy,,7095724398,nodes,POINT (32.5941887 15.5020628),Jalal and Ejlal Pharmacy,15.5020628,32.5941887,Khartoum,Khartoum
